Colegio,Teléfono,Email,Codigo Postal,Provincia,Estado
ESCUELA INFANTIL KIDSCO CERRO MURISNO,626622656,teresamarta13@gmail.com,14,CÓRDOBA,ANDALUCÍA
ESCUELA INFANTIL KIDSCO BASE AÉREA DE ARMILLA,669655221,armilla@kidsco.es,18,GRANADA,ANDALUCÍA
KIDSCO ÁLVAREZ DE SOTOMAYOR,950180269,viator@kidsco.es,4,ALMERÍA,ANDALUCÍA
ATALAYA COLEGIO INTERNACIONAL,952003171,paris.chetwynd@colegioatalaya.es,29,MÁLAGA,ANDALUCÍA
CDP LA PURÍSIMA,615239443,profemiguelbatun@gmail.com,29,MÁLAGA,ANDALUCÍA
C.P.R. SERRANÍA,655 77 29 85,colegioserrania@gmail.com,29,MÁLAGA,ANDALUCÍA
CEIP LA BIZNAGA,951298945,29003580.EDU@JUNTADEANDALUCIA.ES,29,MÁLAGA,ANDALUCÍA
CEIP PABLO NERUDA,951298552,29011591.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
MARQUÉS DE IZNATE,697951935,29003166.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEPR MIGUEL HERNÁNDEZ,697951757,ceipmiguelhernandez@gmail.com,29,MÁLAGA,ANDALUCÍA
CEIP TAMIXA,653581831,direccion@ceiptamixa.com,29,MÁLAGA,ANDALUCÍA
CEIP JUAN CARRILLO,671566934,29007718.direccion.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP ENRIQUE GINÂ´`ES,951289596,maestramariadelmar@enriquegines.es,29,MÁLAGA,ANDALUCÍA
CEIP SAN JUAN BAUTISTA,952712695,29002630.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP CARAZONY,669515384,29002253.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP FÉLIX PLAZA RAMOS,647539631,29602402.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP LA PARRA,951289915,colegio@ceiplaparra.com,29,MÁLAGA,ANDALUCÍA
CEIP CAETARIA,651486197,MARIJCR@GMAIL.COM,0,CADIZ,ANDALUCÍA
CEIP LAS NACIONES,666315529,jefatura@ceiplasnaciones.es,29,MÁLAGA,ANDALUCÍA
CEIP NTRA. SRA. DE MONSALUD,952712915,29000131.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP ANTONIO GALA,656819735,nuriaestherdiaz@gmail.com,29,MÁLAGA,ANDALUCÍA
CEIP JARDÍN BOTÁNICO,951268555,secretariajardinbotanico@hotmail.com,29,MÁLAGA,ANDALUCÍA
CEIP MAESTRO JOAQUÍN HERRERA ÁLVAREZ,666331214,isabelgomez@ceipmaestrojoaquinherreranerja.com,29,MÁLAGA,ANDALUCÍA
CEIP JUAN ARMARIO,956 41 85 00,agarcal461@g.educaand.es,11,CÁDIZ,ANDALUCÍA
CEIP MIGUEL FORTES FORTES,651754921,ccuamay299@g.educaand.es,29,MÁLAGA,ANDALUCÍA
CEIP CAYETANO BOLÍVAR,600140028,cayetanobolivar2015@gmail.com,29,MÁLAGA,ANDALUCÍA
CEIP PEDRO SALINAS,600140311,29011916.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEPR PINTOR PALOMO Y ANAYA,616552695,29002265.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP RECTORA ADELAIDA DE LA CALLE,606703761,mavila@colegiorectora.es,29,MÁLAGA,ANDALUCÍA
CEIP CARAZONY,627202861,anamariabermudezdelgado@carazony.es,29,MÁLAGA,ANDALUCÍA
CEIP ANTONIO CHECA MARTÍNEZ,671596008,29009570.EDU@JUNTADEANDALUCIA.ES,29,MÁLAGA,ANDALUCÍA
NOVASCHOOL BENALMÁDENA,610138618,lwhiddon@novaschool.es,29,MÁLAGA,ANDALUCÍA
CENTRO INFANTIL MUNDOPARSCHOOL,692266206,Ceomundoparkschool@hotmail.com,4,ALMERÍA,ANDALUCÍA
CENTRO INFANTIL MUNDOPARK2,692266206,Ceomundoparkschool@htomail.com,4,ALMERÍA,ANDALUCÍA
ESCUELA DE EDUCACIÓN INFANTIL ARCO IRIS,951269674,pacomaestroinfantil@gmail.com,29,MÁLAGA,ANDALUCÍA
SAN FRANCISCO JAVIER LA SALLE,952700964,dirsanfranciscojavier@lasalleandalucia.net,29,MÁLAGA,ANDALUCÍA
CEIP MIGUEL BERROCAL,671567378,jefatura@ceipmiguelberrocal.org,29,MÁLAGA,ANDALUCÍA
SALINAS,625226960,berenice.astorga@fundacionvictoria.edu.es,29,MÁLAGA,ANDALUCÍA
ESCUELA INFANTIL MARTIRICOS,659455083,itgongom@gmail.com,0,MALAGA,ANDALUCÍA
CEIP MANOLO GARVAYO,619946171,al2colegiomanologarvayo@gmail.com,0,ESPAÑA,ANDALUCÍA
CEIP LA PARRA,951289915,colegio@ceiplaparra.com,29,MÁLAGA,ANDALUCÍA
CENTRO DE EDUCACION INFANTIL APOLO,953275248,DIRECCION@ESCUELAINFANTILAPOLO.ES,0,JAEN,ANDALUCÍA
CEIP AUGUSTO SANTIAGO BELLIDO,951289528,29008589.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP VALDEOLLETAS,671566690,29010304.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
LA PEQUEÑA ESPONJA,678236659,beatriz86@hotmail.es,4,ALMERÍA,ANDALUCÍA
COLEGIO PLATERO,651631071,hinchadas_heroicos_0o@icloud.com,29,MÁLAGA,ANDALUCÍA
ESCUELA INFANTIL VIRGEN DE LA PAZ,636214986,11011299.edu@juntadeandalucia.es,11,CÁDIZ,ANDALUCÍA
CPR FILABRES,647886052,cruzsaez.isabel@gmail.com,4,ALMERÍA,ANDALUCÍA
E.I EL FARO,692510737,josefa361986@hotmail.com,11,CÁDIZ,ANDALUCÍA
EI CHIMENEA DE LAS HADAS,622784086,chimeneadelashadas.alboloduy@gmail.com,4,ALMERÍA,ANDALUCÍA
IES SAN BLAS (ARACENA),616102357,carmelo78@gmail.com,21,HUELVA,ANDALUCÍA
COLEGIO NUESTRA SEÑORA DE LAS MERCEDES,976663636,DIRECCION@MERCEDARIASEJEA.COM,50,ZARAGOZA,ARAGÓN
CEIP MATEO VALERO,976626060,cpalfamen@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CRA ALBEOS,635707412,monigc_alb@hotmail.com,0,BELVER DE CINCA,ARAGON
CEIP MAESTRO DON PEDRO OROS,620437028,direccion.colegio@ceipmaestrodonpedrooros.com,50,ZARAGOZA,ARAGÓN
CEIP JOSÉ CAMÓN AZNAR,976329102,cpjcazaragoza@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP SANTIAGO APÓSTOL DE GRAÑÉN,974390203,cpsaphuesca@educa.aragon.es,22,HUESCA,ARAGÓN
CRA ALTA RIBAGORZA,974551180,crabenasque@educa.aragon.es,22,HUESCA,ARAGÓN
CEIP DE FIGUERUELAS,976656240,ceipfigueruelas@educa.aragon.es,0,ZARAGZOA,ARAGÓN
ESCUELA INFANTIL KIDSCO BASE SAN JORGE ZARAGOZA,607 01 67 76,sanjorge@kidsco.es,50,ZARAGOZA,ARAGÓN
E.I. KIDSCO NTRA. SRA.DE LORETO B.A.ZARAGOZA,976709090,zaragoza@kidsco.es,50,ZARAGOZA,ARAGÓN
CENTRO EDUCACIÓN INFANTIL SANCHO RAMÍREZ,628495360,huesca@kidsco.es,0,COLMENAR VIEJO,ARAGÓN
CEIP SIERRA DE ALGAIRÉN,685893682,vgalve@ceipsierradealgairen.catedu.es,50,ZARAGOZA,ARAGÓN
CEIPO MONTECANAL,976756925,cpmontecanal@colegiomontecanal.es,50,ZARAGOZA,ARAGÓN
COLEGIO NUESTRA SEÑORA DE LAS MERCEDES,976663636,rromeo@mercedariasejea.com,50,ZARAGOZA,ARAGÓN
CEIP CERVANTES,661229173,claravillars@gmail.com,50,ZARAGOZA,ARAGÓN
VIRGEN DEL ROMERAL,974428084,virgenromeral@colegiosaragon.org,22,HUESCA,ARAGÓN
CEIP SAN GREGORIO,974468552,cpontinena@educa.aragon.es,22,HUESCA,ARAGÓN
COLEGIO NUETSRA SEÑORA DEL CASTILLO,976610290,direccion@nscastillo.com,50,ZARAGOZA,ARAGÓN
CEIP BILINGÜE BALTASAR GRACIÁN,976881652,cpbgcalatayud@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP CORTES DE ARAGÓN,976512111,cpcarazaragoza@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP MARÍA ZAMBRANO,619137803,ceipmariazambrano@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP MIGUEL SERVET,653027617,escuelasenegue@gmail.com,22,HUESCA,ARAGÓN
CEIP ARAGÓN,635090464,jefatura@cparagonmonzon.es,22,HUESCA,ARAGÓN
CEIP TENERIAS,976292950,cptenzaragoza@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP LUCIO FABIO SEVERO,976637250,cpchiprana@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CRA LA LLITERA COLE DE CASTILLONROY,647011111,beanaranjo101@hotmail.com,22,HUESCA,ARAGÓN
ESCUELA INFANTIL ISABEL DE ARAGÓN,6795600715,guarderiaepila@gmail.com,50,ZARAGOZA,ARAGÓN
CRA ESTADILLA-FONZ,974412031,crafonz@educa.aragon.es,22,HUESCA,ARAGÓN
CEIP VIRGEN DE LA SOLEDAD (BOLEA) HUESCA,615419511,muniacorcuerapascual@gmail.com,22,HUESCA,ARAGÓN
C.R.A MONLORA (ERLA),978694161,noeguimuerla@gmail.com,50,ZARAGOZA,ARAGÓN
CEIP DIPUTACIÓN PROVINCIAL,976824333,colegiodebrea@gmail.com,0,BREA DE ARAGÓN,ARAGÓN
CEIP MARÍA QUINTANA,974464270,cpmequinenza@educa.aragon.es,50,ZARAGOZA,ARAGÓN
"CEIP ""CÉSAR AUGUSTO""",620460962,aplana@ceipcesaraugusto.org,50,ZARAGOZA,ARAGÓN
CEIP SALVADOR MINGUIJÓN,676891444,cpsmcalatayud@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP JERÓNIMO ZURITA Y CASTRO,976404608,cpjzczaragoza@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CRA LA SABINA,974392236,sabinarobres@cralasabina.com,22,HUESCA,ARAGÓN
CRA DEL EBRO,620666755,cragelsa@educa.aragon.es,50,ZARAGOZA,ARAGÓN
SANTA ANA,605095805,inmagovis@gmail.com,50,ZARAGOZA,ARAGÓN
FEFC-LA ANUNCIATA,976436600,direccionprimaria.zaragoza@fefcoll.org,50,ZARAGOZA,ARAGÓN
COLEGIO PIRINEOS,669126325,salvadorlafuente@ceippirineos.com,22,HUESCA,ARAGÓN
CEIP CERBÍN,662193158,master@ceipcerbin.es,22,HUESCA,ARAGÓN
CPI EL ESPARTIDERO,976582061,cpespartidero@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP NUESTRA SEÑORA DEL PILAR DE FAYÓN,976635692,marta.gorriz@cpfayon.com,44,TERUEL,ARAGÓN
CEIP CALIXTO ARIÑO-HILARIO VAL,976413997,cpcarzaragoza@educa.aragon.es,50,ZARAGOZA,ARAGÓN
CEIP MONTE OROEL,974356459,primeroroel@gmail.com,22,HUESCA,ARAGÓN
COLEGIO SAGRADO CORAZÓN MONCAYO,976754036,direccion@corazonistasmoncayo.com,50,ZARAGOZA,ARAGÓN
CEIP RAMÓN Y CAJAL DE ALPARTIR,620437020,cpalpartir@gmail.com,50,ZARAGOZA,ARAGÓN
ESCUELA INFANTIL EL TEXU ,606417747 / 984009010,eeieltexu@castrillon.es,33,ASTURIAS,ASTURIAS
EEI RIEGO ARRIBA,665 693 225,irislmarques@hotmail.com,33,ASTURIAS,ASTURIAS
CEIP PRINCIPE DE ASTURIAS,608241232,emmauno2001@yahoo.es,0,LAS PALMAS ( ISLA GRAN CANARIA),CANARIAS
CEIP EL TABLERO,647107569,emoescribo.ceipeltablero@gmail.com,35,LAS PALMAS,CANARIAS
EEI ALMIRANTE ANTEQUERA,928311101,35006266@gobiernodecanarias.org,35,LAS PALMAS,CANARIAS
CEIP EL GAMONAL,928640700,35005900@gobiernodecanarias.org,35,LAS PALMAS,CANARIAS
CPEI LA ARDILLA AMARILLA,928670273,info@laardillaamarilla.es,35,LAS PALMAS,CANARIAS
CEIP EL TOSCÓN,928671510,35006278@gobiernodecanarias.org,35,LAS PALMAS,CANARIAS
CEIP JUAN DEL RÍO AYALA,928641528,35009327@gobiernodecanarias.org,0,SANTA BRÍGIDA,CANARIAS
CEIP VILLA DE FIRGAS,617780380,educacioninfantilaula8@gmail.com,35,LAS PALMAS,CANARIAS
CPEIP NUESTRA SEÑORA DEL CARMEN,928278755,jefatura@cevdelcarmenesur.es,35,LAS PALMAS,CANARIAS
CEIP EL TABLERO,647107569,emoescribo.ceipeltablero@gmail.com,35,LAS PALMAS,CANARIAS
CEIP DOCTOR HERNÁNDEZ BENÍTEZ,647962413,isa.torreso@gmail.com,0,LAS PALMAS DE GRAN CANARIA,CANARIAS
GRUMETE LAS PALMAS,928230618,Grumetelaspalmas@kidsco.es,0,GRAN CANARIAS,CANARIAS
CEI KIDSCO BASE AÉREA DE GANDO,673896696,gando@kidsco.es,35,LAS PALMAS,CANARIAS
CEIP EN ARUCAS,649893533,davinandez@gmail.com,35,LAS PALMAS,CANARIAS
CPEIPS SAN RAFAEL,646917970,r.raixela@hotmail.com,35,LAS PALMAS,CANARIAS
CEIP GUINIGUADA,675896424,juditamado@gmail.com,0,LAS PALMAS DE GRAN CANARIA,CANARIAS
CPEIP SAGRADO CORAZON DE JESÚS ARUCAS,928601036,dolores.guerra@cevsagradorazonarucasesur.es,35,LAS PALMAS,CANARIAS
CEIP GABRIELA MISTRAL,606908876,Claudiaberenguer88@gmail.com,30,MURCIA,CARTAGENA
CEIP GABRIELA MISTRAL,606908876,Claudiaberenguer88@gmail.com,30,MURCIA,CARTAGENA
CEIP EL SANTO,926540709,director@ceipelsanto.com,13,CIUDAD REAL,CASTILLA LA MANCHA
ESCUELA INFANTIL POMPITAS,617832576,escuelainfantil@cedillodelcondado.es,45,TOLEDO,CASTILLA LA MANCHA
CEIP NUESTRA SEÑORA DE LA LUZ,925844241,45002202.cp@edu.jccm.es,45,TOLEDO,CASTILLA LA MANCHA
CEIP EL DUENDE,600328602,miopazo@jccm.es,45,TOLEDO,CASTILLA LA MANCHA
E.I. PIM-PON,649841597,msantos@aytoquintanar.org,45,TOLEDO,CASTILLA LA MANCHA
CEIP LA PALOMA,652966382,helenacm42@gmail.com,19,GUADALAJARA,CASTILLA LA MANCHA
CEIP MARIANO MUNERA,967 275129,02001743.cp@edu.jccm.es,2,ALBACETE,CASTILLA LA MANCHA
EI MARY POPPINS,925680683,680683@gmail.com,45,TOLEDO,CASTILLA LA MANCHA
CEIP NUESTRA SEÑORA DE LA NATIVIDAD,925 50 85 17,45000631.cp@edu.jccm.es,45,TOLEDO,CASTILLA LA MANCHA
COLEGIO EPISCOPAL - O.M.EKUMENE,967340250,cepiscopal@ekumene.org,2,ALBACETE,CASTILLA LA MANCHA
CEIP EL PRADILLO,926241292,13002061.CP@EDU.JCCM.ES,13,CIUDAD REAL,CASTILLA LA MANCHA
CEIP SAN ISIDRO LABRADOR,658579918,ruben180177@hotmail.com,45,TOLEDO,CASTILLA LA MANCHA
CEIP SANTA ANA,925779182- 600034390,45004144.cp@edu.jccm.es,45,TOLEDO,CASTILLA LA MANCHA
CEIP SAGRADO CORAZÓN DE JESÚS,925152025,45004454.cp@edu.jccm.es,45,TOLEDO,CASTILLA LA MANCHA
COLEGIO SANTISIMO CRISTO DE LA MISERICORDIA,34685907589,inmaacena@gmail.com,0,MIGUELTURRA,CASTILLA LA MANCHA
CEIP MIGUEL DELIBES,637958749,Ncelador@yahoo.es,45,TOLEDO,CASTILLA LA MANCHA
CEIP LA ESPINOSA,616129574,13001492.cp@edu.jccm.es,13,CIUDAD REAL,CASTILLA LA MANCHA
CEIP JESÚS BAEZA,686958749,rafialvarez@hotmail.com,0,VALDEPEÑAS,CASTILLA LA MANCHA
CEIP CRISTO DEL CONSUELO,926811904 / 627902839,13003142.cp@edu.jccm.es,0,CIUDAD REAL (TORRALBA DE CALATRAVA),CASTILLA LA MANCHA
NUESTRA SEÑORA DE LOS DESAMPARADOS,657112822,Gemagutierrez@colegionsdesamparados.es,45,TOLEDO,CASTILLA LA MANCHA
CRA LA ENCINA,675784052,martingordillo30@gmail.com,19,GUADALAJARA,CASTILLA LA MANCHA
IES EL GRECO,618715257,ilduroca@hotmail.com,45,TOLEDO,CASTILLA LA MANCHA
CEIP CERVANTES,967325287/ 637823523,mamelia.gonzalez@edu.jccm.es,2,ALBACETE,CASTILLA LA MANCHA
NUESTRA SEÑORA DE LOS DESAMPARADOS,657112822,Gemagutierrez@colegionsdesamparados.es,45,TOLEDO,CASTILLA LA MANCHA
CRA RETAMA,969125378,16004182.cra@edu.jccm.es,16,CUENCA,CASTILLA LA MANCHA
IES MAESTRE DE CALATRAVA,926 23 25 30/ 926 25 08 12,orientacion@iesmaestredecalatrava.es,13,CIUDAD REAL,CASTILLA LA MANCHA
CEIP. NTRA. SRA. DE HORTUM SANCHO,925 86 33 82,45000552.cp@edu.jccm.es,45,TOLEDO,CASTILLA LA MANCHA
CEIP SAGRADO CORAZÓN DE JESÚS - TÓRTOLA DE HENARES,949313668,19002275.cp@edu.jccm.es,19,GUADALAJARA,CASTILLA LA MANCHA
CEIP TIRSO DE MOLINA,616762446,ehernandezj@edu.jccm.es,45,TOLEDO,CASTILLA LA MANCHA
CEIP PRÍNCIPE DE ASTURIAS,967340240,jefatura@coleprincipe.com,2,ALBACETE,CASTILLA LA MANCHA
CEIP GLORIA FUERTES,926551169,13004870.cp@edu.jccm.es,13,CIUDAD REAL,CASTILLA LA MANCHA
"CRA ""MOLINOS DEL JÚCAR""",638735576,mariadolores.toboso@edu.jccm.es,16,CUENCA,CASTILLA LA MANCHA
CEIP SAN FULGENCIO,601129694,02000167.cp@edu.jccm.es,2,ALBACETE,CASTILLA LA MANCHA
CRA GUADIELA,969311117,aruedamz@edu.jccm.es; anaruedamz@gmail.com,16,CUENCA,CASTILLA LA MANCHA
CRA RÍO TAJO-JMO,675935477,carla-gj@hotmail.com,45,TOLEDO,CASTILLA LA MANCHA
CEIP CASTILLO DE PIOZ,654314038,smmolina78@gmail.com,19,GUADALAJARA,CASTILLA LA MANCHA
CEIP CRISTÓBAL COLÓN,623472033,acallejam@edu.jccm.es,2,ALBACETE,CASTILLA LA MANCHA
CEIP MARÍA LUISA CAÑAS,636336783,13002162.cp@edu.jccm.es,0,PEDRO MUÑOZ,CASTILLA LA MANCHA
E.I. ALOPEKES,949270872,admin@alopekes.net,19,GUADALAJARA,CASTILLA LA MANCHA
E.I. VALDELUZ,949310858,valdeluzescuelainfantil@gmail.com,19,GUADALAJARA,CASTILLA LA MANCHA
CEIP BENJAMIN PALENCIA,637543492,cijco76@gmail.com,2,ALBACETE,CASTILLA LA MANCHA
IES ATENEA EN CIUDAD REAL,658502602,jorge.perabad@gmail.com,13,CIUDAD REAL,CASTILLA LA MANCHA
NTRA. SRA DEL CARMEN,699055197,catunami@nscarmenva.es,47,VALLADOLID,CASTILLA Y LEÓN
SAN JUAN BAUTISTA DE LA SALLE,675186261,yolanda@lasallevalladolid.es,47,VALLADOLID,CASTILLA Y LEÓN
LA SUITE INFANTIL,644194608,beatriz@lasuiteinfantil.com,47,VALLADOLID,CASTILLA Y LEON
CRA EL CARRACILLO,635461883,horta.adoberas@gmail.com,40,SEGOVIA,CASTILLA Y LEÓN
CEIP SANTA TERESA DE JESÚS (EL BARRACO),649055131,Beatriz.pergal@educa.jcyl.es,5,ÁVILA,CASTILLA Y LEÓN
CRA MORAÑA BAJA,920310175,05006090@educa.jcyl.es,5,ÁVILA,CASTILLA Y LEÓN
"CEIP CRA ""EL CARRACILLO""",921160072,40004890@educa.jcyl.es,40,SEGOVIA,CASTILLA Y LEÓN
CRA FLORIDA DEL DUERO,983866064,47007203@educa.jcyl.es,47,VALLADOLID,CASTILLA Y LEÓN
ESCUELA INFANTIL CASILDA ORDÓÑEZ,979163704,casildaordonezei@gmail.com,34,PALENCIA,CASTILLA Y LEÓN
ESCUELA INFANTIL CRES SANZ,696129161,cressanzei@gmail.com,34,PALENCIA,CASTILLA Y LEÓN
COLEGIO DIVINA PASTORA,650915811,direccion_dpa@edu.anamogas.org,5,ÁVILA,CASTILLA Y LEÓN
CEIP CATALINA DE PALACIOS,925 519 846,45011963.cp@edu.jccm.es,45,TOLEDO,CASTILLA-LA MANCHA.
ESCOLA MARIA MANENT,620334295,ffuentes@escolamariamanent.cat,8,BARCELONA,CATALUÑA
LLAR D'INFANTS EL CARGOL,947887219,Info@elcaegol.cat,8,BARCELONA,CATALUÑA
