Nombre,Email,Telefono,Codigo_Postal,ID,Provincia,Estado,Categoria
Pequeños Sabios,pequesabios16@gmail.com  ,617368117,04738,4011302,Almería,Andalucía,Centro Privado
La Nana,centro.lanana@gmail.com  ,637807614,04716,4010887,Almería,Andalucía,Centro Privado
Colorín Colorado,escuelacolorincolorado@gmail.com  ,615538483,04680,4009897,Almería,Andalucía,Centro Privado
Luna Lunera,guarderialunalunera@gmail.com  ,620917924,04131,4010620,Almería,Andalucía,Centro Privado
Arcilla,guarderiaarcilla@gmail.com  ,667003848,04740,4002246,Almería,Andalucía,Centro Privado
Bajo El Mar 2,guarderiasbajoelmar@gmail.com  ,950656614,04740,4009332,Almería,Andalucía,Centro Privado
Carrusel,info@escuelainfantilcarrusel.es  ,950178419,04740,4010346,Almería,Andalucía,Centro Privado
La Casita De Chocolate,info@lacasitadechocolate.net  ,950327583,04740,4004711,Almería,Andalucía,Centro Privado
Oyovaren,marymar1279@hotmail.com  ,950338199,04740,4009782,Almería,Andalucía,Centro Privado
Stella Maris-La Rambla,ceistellamaris@gmail.com  ,722161002,04740,4010334,Almería,Andalucía,Centro Privado
Bambi,iblascoaltuna@gmail.com  ,636610084,04710,4008935,Almería,Andalucía,Centro Privado
Los Diminutos,yolicallejón@hotmail.com  ,616347740,04710,4009277,Almería,Andalucía,Centro Privado
Puppy'S,puppy_ludoteca@hotmail.com  ,647774978,04620,4011521,Almería,Andalucía,Centro Privado
A'Tete,mariateressa_@hotmail.com  ,619555835,11205,11013156,Cádiz,Andalucía,Centro Privado
Baby Planet,  ,,11207,11013326,Cádiz,Andalucía,Centro Privado
El Patio De Mi Casa,guardepatiodemicasa@gmail.com  ,647244183,11205,11012905,Cádiz,Andalucía,Centro Privado
La Yedra,echescu@hotmail.com  ,856584345,11207,11011111,Cádiz,Andalucía,Centro Privado
Los Pastores,lospastores@gdarunda.es  ,956603090,11206,11007156,Cádiz,Andalucía,Centro Privado
Pasitos,11012887.pasitos.edu@juntadeandalucia.es  ,678961725,11206,11012887,Cádiz,Andalucía,Centro Privado
Coleguarde,coleguarde@hotmail.com  ,610535489,11630,11012577,Cádiz,Andalucía,Centro Privado
Las Galletitas,lasgalletitas@gmail.com  ,956700859,11630,11012358,Cádiz,Andalucía,Centro Privado
Virgen Del Carmen,gerencia@cei-virgendelcarmen.es  ,692165344,11630,11013296,Cádiz,Andalucía,Centro Privado
Bahía Blanca,guarderia.bahiablanca@gmail.com  ,956256906,11007,11012747,Cádiz,Andalucía,Centro Privado
Casa De Niños Y Niñas,lacasitacadiz@hotmail.com  ,956288666,11007,11011147,Cádiz,Andalucía,Centro Privado
Maín,titularcadiz@salesianas.org  ,956251607,11008,11013119,Cádiz,Andalucía,Centro Privado
Parvulitos Villa Esther,parvulitosvillaesther@gmail.com  ,665853342,11009,11012292,Cádiz,Andalucía,Centro Privado
San Martín,  ,,11005,11012164,Cádiz,Andalucía,Centro Privado
Zona Franca,elpatiozf@live.com  ,956200402,11011,11003370,Cádiz,Andalucía,Centro Privado
Badulaque,badulaque2@gmail.com  ,616985709,11130,11012139,Cádiz,Andalucía,Centro Privado
Caramelos,11012000.edu@juntadeandalucia.es  ,956536352,11130,11012000,Cádiz,Andalucía,Centro Privado
Cuenta Cuentos,escuelacuentacuentos@hotmail.com / 11012449.edu@juntadeandalucia.es  ,658113351,11130,11012449,Cádiz,Andalucía,Centro Privado
El Almendral,11009396.edu@juntadeandalucia.es  ,956105657,11130,11009396,Cádiz,Andalucía,Centro Privado
El Mayorazgo,allkidschiclana@allkids.es  ,956406583,11130,11011524,Cádiz,Andalucía,Centro Privado
El Principito,11011858.edu@juntadeandalucia.es  ,669302190,11130,11011858,Cádiz,Andalucía,Centro Privado
El Recreo,cei.elrecreo@hotmail.com  ,667508356,11130,11012334,Cádiz,Andalucía,Centro Privado
La Eureka,inma.rodriguezgonzalez@alum.uca.es  ,609637140,11130,11012841,Cádiz,Andalucía,Centro Privado
Marionetas,maifra2@hotmail.com  ,956533848,11130,11006589,Cádiz,Andalucía,Centro Privado
Aupa,11013077.educ@juntadeandalucia.es  ,617015479,11140,11013077,Cádiz,Andalucía,Centro Privado
Caballito De Mar Ii,11012152.edu@juntadeandalucia.es  ,956456206,11140,11012152,Cádiz,Andalucía,Centro Privado
Garabatines,chica_rgc@hotmail.com  ,699880144,11379,11013247,Cádiz,Andalucía,Centro Privado
Centro Bilingüe,herminia.vela@gmail.com  ,667420277,11500,11008860,Cádiz,Andalucía,Centro Privado
El Cole,ceielcole@ceielcole.com  ,956851960,11500,11012309,Cádiz,Andalucía,Centro Privado
La Guarde,laguardecei@gmail.com  ,856582734,11500,11012784,Cádiz,Andalucía,Centro Privado
Los Patitos,11010647aberroes@juntadeandalucia.es  ,956480642,11500,11010647,Cádiz,Andalucía,Centro Privado
Mamá Oca,laurabj@hotmail.es  ,956541144,11500,11010477,Cádiz,Andalucía,Centro Privado
Pinocho,cristina.macias@ceipinocho.es  ,956876952,11500,11009323,Cádiz,Andalucía,Centro Privado
Virgen De La Caridad,guarderiavirgencaridad@hotmail.com  ,956875812,11500,11005299,Cádiz,Andalucía,Centro Privado
Mary Poppins,adriana_blanquez@hotmail.com  ,677572607,11379,11012425,Cádiz,Andalucía,Centro Privado
Attendis Allkids Jerez,allkidsjerez@allkids.es  ,956305604,11407,11603592,Cádiz,Andalucía,Centro Privado
Bambú,11012802.edu@juntadeandalucia.es  ,609622797,11407,11012802,Cádiz,Andalucía,Centro Privado
Colorines,11012930.edu@juntadeandalucia.es  ,956312711,11407,11012930,Cádiz,Andalucía,Centro Privado
Educa,centroinfantileduca@gmail.com  ,605927163,11408,11012966,Cádiz,Andalucía,Centro Privado
El Golfillo 1,guarderiainfantilelgolfillo@hotmail.com  ,620877189,11407,11012553,Cádiz,Andalucía,Centro Privado
El Nido,e.i.elnido@gmail.com  ,956339624,11405,11012875,Cádiz,Andalucía,Centro Privado
El Recreo,info@elrecreodejerez.com  ,856050983,11407,11012221,Cádiz,Andalucía,Centro Privado
El Sonajero,majepa@hotmail.es  ,658919586,11405,11012814,Cádiz,Andalucía,Centro Privado
La Granja,escuelainfantil_lagranja@hotmail.com  ,956312716,11405,11011998,Cádiz,Andalucía,Centro Privado
Lolita,guarderialolita@yahoo.es  ,856927659,11402,11012541,Cádiz,Andalucía,Centro Privado
Marina,escuelainfantilmarina@gmail.com  ,956140457,11406,11003436,Cádiz,Andalucía,Centro Privado
Montealto Ii,escuelainfantilmontealto@gmail.com  ,691625611,11407,11012851,Cádiz,Andalucía,Centro Privado
Pequeño Pony,susanaguarde@gmail.com  ,665844342,11406,11013053,Cádiz,Andalucía,Centro Privado
Pipos,pburgos78@hotmail.com  ,651116350,11407,11012140,Cádiz,Andalucía,Centro Privado
Sol Y Luna Escuela Infantil Jerez,info@solylunajerez.es  ,679697753,11407,11013107,Cádiz,Andalucía,Centro Privado
El Osito,asomejorana2002@gmail.com  ,678676319,11330,11008756,Cádiz,Andalucía,Centro Privado
Lacasitos,  ,,11300,11013338,Cádiz,Andalucía,Centro Privado
Educo,11009025.edu@juntadeandalucia.es  ,956411661,11170,11009025,Cádiz,Andalucía,Centro Privado
Sol,sol@kidsco.es  ,956245920,11510,11012711,Cádiz,Andalucía,Centro Privado
La Tortuga,guarderialatortuga@hotmail.com  ,956841669,11520,11011871,Cádiz,Andalucía,Centro Privado
Mi Casita,11008975.edu@juntadeandalucia.es  ,956811092,11520,11008975,Cádiz,Andalucía,Centro Privado
Picobarro,ceibpicobarro@gmail.com  ,956843564,11520,11011950,Cádiz,Andalucía,Centro Privado
Arco Iris,  ,,11100,11010659,Cádiz,Andalucía,Centro Privado
Don Peluso,ceidonpeluso@gmail.com  ,956884563,11100,11008549,Cádiz,Andalucía,Centro Privado
El Desván,esindis@hotmail.com  ,956887520,11100,11009116,Cádiz,Andalucía,Centro Privado
El Jardín,eljardincadiz@hotmail.com  ,856040179,11100,11012620,Cádiz,Andalucía,Centro Privado
El Parque Centro,  ,,11100,11004532,Cádiz,Andalucía,Centro Privado
Fantasía,11012279.edu@juntadeandalucia.es  ,956943822,11100,11012279,Cádiz,Andalucía,Centro Privado
Jen,  ,,11100,11008604,Cádiz,Andalucía,Centro Privado
La Pradera,eilapradera@yahoo.es  ,956898801,11100,11008537,Cádiz,Andalucía,Centro Privado
Acuarela,asomejorana2002@gmail.com  ,678676319,11340,11007715,Cádiz,Andalucía,Centro Privado
Pequeguardería,asomejorana2002@gmail.com  ,678676319,11368,11011101,Cádiz,Andalucía,Centro Privado
Bambi,fernandezreymariajose@gmail.com  ,610699503,11540,11012826,Cádiz,Andalucía,Centro Privado
El Jardín De Los Sueños,  ,,11540,11013341,Cádiz,Andalucía,Centro Privado
Fernando De Magallanes,adminsitracion@afanas.es  ,956369743,11540,11013260,Cádiz,Andalucía,Centro Privado
La Cajita De Pandora,angelusmoscoso@hotmail.com  ,607479576,11540,11012127,Cádiz,Andalucía,Centro Privado
Mi Primer Cole,  ,699269251,11540,11012346,Cádiz,Andalucía,Centro Privado
Peter Pan,asomejorana2002@gmail.com  ,678676319,11369,11008616,Cádiz,Andalucía,Centro Privado
San Ramón,gerencia@cdp-sanramon.es  ,692165344,11650,11012498,Cádiz,Andalucía,Centro Privado
Pompitas,guarderiapompitasaguilar@gmail.com  ,617277638,14920,14012308,Córdoba,Andalucía,Centro Privado
Los Duendecillos,escuelainfantillosduendecillos@hotmail.com  ,639359753,14610,14012151,Córdoba,Andalucía,Centro Privado
Padre Nuestro,guarderiapnuestro@gmail.com  ,957635262,14720,14007489,Córdoba,Andalucía,Centro Privado
Almedina,escuela_almedina@yahoo.es  ,957671487,14850,14011274,Córdoba,Andalucía,Centro Privado
Los Peques,lospeques2008@hotmail.com  ,957670176,14850,14007015,Córdoba,Andalucía,Centro Privado
Arco Iris,eiarcoiris@hotmail.com  ,957524994,14940,14010737,Córdoba,Andalucía,Centro Privado
Canguros Nana,ceicangurosnana@hotmail.com  ,685577942,14940,14011201,Córdoba,Andalucía,Centro Privado
El País De Los Cuentos,eielpaisdeloscuentos@gmail.com  ,628230656,14940,14012278,Córdoba,Andalucía,Centro Privado
El Tiovivo 2,parquedebaena@hotmail.com  ,645117513,14840,14010920,Córdoba,Andalucía,Centro Privado
Acuarelas,reginagracia@hotmail.com  ,957325733,14014,14011341,Córdoba,Andalucía,Centro Privado
Babis,centrodeeducacioninfantilbabis@gmail.com  ,622628403,14004,14011742,Córdoba,Andalucía,Centro Privado
Center Baby,guarderiacenterbaby@gmail.com  ,617649187,14006,14011754,Córdoba,Andalucía,Centro Privado
Chiquitines Guay,chiquitinesguay@yahoo.es  ,637723158,14005,14011262,Córdoba,Andalucía,Centro Privado
Chuitos,escuelainfantilchuitos@hotmail.com  ,633417866,14012,14012059,Córdoba,Andalucía,Centro Privado
Chupetines La Arruzafa,chupetineseilaarruzafa@gmail.com  ,957612759,14012,14013003,Córdoba,Andalucía,Centro Privado
Cuenta Cuentos I,cuentacuentosunocordoba@hotmail.com  ,957073300,14010,14011596,Córdoba,Andalucía,Centro Privado
Cuenta Cuentos Iii,cuentacuentosdoscordoba@hotmail.com  ,957472000,14002,14012291,Córdoba,Andalucía,Centro Privado
Dumbi,rosariomontilla@hotmail.es  ,658989181,14006,14011298,Córdoba,Andalucía,Centro Privado
Educare Eduquere,educare-eduquere@educare-eduquere.es  ,957420438,14009,14011456,Córdoba,Andalucía,Centro Privado
El Bosque,eielbosque@gmail.com  ,957082139,14006,14011936,Córdoba,Andalucía,Centro Privado
El Cuco,eielcuco@gmail.com  ,957486925,14001,14601120,Córdoba,Andalucía,Centro Privado
El Jardín De Las Hadas,  ,,14014,14012591,Córdoba,Andalucía,Centro Privado
El Jardincito Ii,  ,,14013,14010944,Córdoba,Andalucía,Centro Privado
El Patito Colorín,patitocolorin@hotmail.es  ,957002932,14001,14010178,Córdoba,Andalucía,Centro Privado
El Puzzle,e.i.elpuzzle@hotmail.com  ,637905415,14010,14007507,Córdoba,Andalucía,Centro Privado
El Tren,guarderiaeltren@yahoo.es   ,957483605,14001,14007039,Córdoba,Andalucía,Centro Privado
El Vial,escuelainfantilelvial@hotmail.es  ,957830810,14006,14010245,Córdoba,Andalucía,Centro Privado
Érase Una Vez I,eraseunavezei@gmail.com  ,672358984,14011,14008512,Córdoba,Andalucía,Centro Privado
Erase Una Vez Iii,eraseunavezei@gmail.com  ,672358982,14006,14011419,Córdoba,Andalucía,Centro Privado
Fantasía,natysibila@gmail.com  ,957047248,14006,14011602,Córdoba,Andalucía,Centro Privado
Fred S. Keller,  ,957356401,14012,14012311,Córdoba,Andalucía,Centro Privado
Garabatos 2,rosa@escuelainfantilgarabatos.com  ,957270163,14006,14011195,Córdoba,Andalucía,Centro Privado
Globaluna,beancamo@hotmail.com  ,691662168,14009,14011882,Córdoba,Andalucía,Centro Privado
Happy Children 1,comercialafisa@hotmail.com  ,957818075,14011,14011894,Córdoba,Andalucía,Centro Privado
Happy Days,cordoba@escuelahappydays.com  ,957084082,14005,14011390,Córdoba,Andalucía,Centro Privado
Jardinalba,jardinalba@hotmail.com  ,957275201,14012,14007957,Córdoba,Andalucía,Centro Privado
Jesús Divino Obrero,guarderiajesusdivinoobrero@gmail.com  ,957235794,14009,14012370,Córdoba,Andalucía,Centro Privado
Jugando En Azahara,jugandoenazahara@gmail.com  ,957811777,14005,14012011,Córdoba,Andalucía,Centro Privado
Kid'S Garden,kidsgarden.cordoba@hotmail.com  ,629930952,14012,14008354,Córdoba,Andalucía,Centro Privado
La Casa Del Árbol,contabilidad@eilacasadelarbol.com  ,677285585,14007,14012163,Córdoba,Andalucía,Centro Privado
La Sierra,guarderialasierra@yahoo.es  ,957402402,14012,14601223,Córdoba,Andalucía,Centro Privado
Los Azahares,CAPEMA10@HOTMAIL.COM  ,957460291,14005,14006801,Córdoba,Andalucía,Centro Privado
Los Coquitos,e.i.coquitos@gmail.com  ,957114967,14004,14012540,Córdoba,Andalucía,Centro Privado
Los Soletes,losoletes13@hotmail.com  ,646486579,14011,14009735,Córdoba,Andalucía,Centro Privado
Mamá Osa,carmenmillan59@yahoo.es  ,616415173,14014,14007349,Córdoba,Andalucía,Centro Privado
Manolo Alvaro I,arealespilar@gmail.com  ,957258600,14007,14011791,Córdoba,Andalucía,Centro Privado
María Auxiliadora,mariaauxiliadoradecordoba@gmail.com  ,957822964,14002,14007027,Córdoba,Andalucía,Centro Privado
Mi Casita,escuelainfantilmicasita@gmail.com  ,957610113,14011,14012242,Córdoba,Andalucía,Centro Privado
Mi Granja Ii,migranjacb@hotmail.com  ,957464199,14011,14010233,Córdoba,Andalucía,Centro Privado
Mickey,dm_e.mickey@hotmail.com  ,957455138,14005,14010208,Córdoba,Andalucía,Centro Privado
Mimos Ii,cei_mimos@hotmail.com  ,957255936,14014,14010841,Córdoba,Andalucía,Centro Privado
Montessori Dream,info@montessoridream.com  ,,14012,14012679,Córdoba,Andalucía,Centro Privado
Nubes De Algodón,einubesdealgodon@hotmail.es  ,620742250,14014,14012412,Córdoba,Andalucía,Centro Privado
Nuestra Señora Del Rosario,ntrasradelrosarioei@gmail.com  ,957391529,14005,14011985,Córdoba,Andalucía,Centro Privado
Pasitos,pasitoscordoba@gmail.com  ,666909600,14014,14011377,Córdoba,Andalucía,Centro Privado
Piratas,piratasjardindeinfancia@hotmail.com  ,957471347,14002,14010853,Córdoba,Andalucía,Centro Privado
Playschool,  ,,14011,14010804,Córdoba,Andalucía,Centro Privado
Ratón Pérez,isabel19602009@hotmail.es  ,663187180,14014,14011687,Córdoba,Andalucía,Centro Privado
San Cayetano Ii,escuelainfantilsancayetano@hotmail.com  ,649330167,14001,14012758,Córdoba,Andalucía,Centro Privado
Santa Victoria 1,secretaria.ceisantavictoria@fdemartires.es  ,957271122,14012,14012369,Córdoba,Andalucía,Centro Privado
Sonrisas,ceisonrisas125@gmail.com   ,646949655,14012,14012643,Córdoba,Andalucía,Centro Privado
Sunnyside,  ,686258988,14001,14012357,Córdoba,Andalucía,Centro Privado
Supli Levante,auxiarimo@hotmail.com  ,957072737,14007,14011161,Córdoba,Andalucía,Centro Privado
Teddy,escuelateddy00@yahoo.es  ,957452248,14004,14007192,Córdoba,Andalucía,Centro Privado
Tom Sawyer,conchi_tomsawyer@hotmail.com  ,957414530,14004,14011389,Córdoba,Andalucía,Centro Privado
Tutuá,centroinfantiltutua@gmail.com  ,957411588,14005,14012281,Córdoba,Andalucía,Centro Privado
Zaida,centroinfantilzaida@hotmail.com  ,957231259,14004,14012424,Córdoba,Andalucía,Centro Privado
Cordobilla,ceicordobilla@hotmail.com  ,957607584,14500,14010713,Córdoba,Andalucía,Centro Privado
Ilusión,escuelainfantil.ilusion@gmail.com  ,680708357,14620,14012114,Córdoba,Andalucía,Centro Privado
Mi Primer Cole,nuestroprimercole@gmail.com  ,957381277,14520,14011951,Córdoba,Andalucía,Centro Privado
Arco Iris 1,eiarcoiris1@andaluciajunta.es  ,957049986,14120,14011638,Córdoba,Andalucía,Centro Privado
Dumbo Ii,dumboescuelainfantil@gmail.com  ,957638063,14120,14011833,Córdoba,Andalucía,Centro Privado
Bambino,bambigranados@gmail.com  ,957591011,14900,14601004,Córdoba,Andalucía,Centro Privado
El Canguro,elcanguro@telefonica.net  ,957591340,14900,14601247,Córdoba,Andalucía,Centro Privado
Heidi,heidiguarde@hotmail.com  ,957515973,14900,14010142,Córdoba,Andalucía,Centro Privado
Las Abejitas,guarderialasabejitas@gmail.com  ,617798835,14900,14012394,Córdoba,Andalucía,Centro Privado
Mi Solete,ceimisolete@hotmail.com  ,669878046,14900,14010889,Córdoba,Andalucía,Centro Privado
Dumbo,g_algaba@hotmail.com  ,957650403,14550,14008691,Córdoba,Andalucía,Centro Privado
Mi Cole,info@micolemontilla.com  ,606323294,14550,14011973,Córdoba,Andalucía,Centro Privado
Pasitos,escuelapasitos@hotmail.com  ,654087007,14600,14011997,Córdoba,Andalucía,Centro Privado
Churrete,14011225.edu@juntadeandalucia.es  ,957643934,14700,14011225,Córdoba,Andalucía,Centro Privado
Hermosines,hermosines@hotmail.com  ,646493404,14700,14011481,Córdoba,Andalucía,Centro Privado
Mis Primeros Pasos,escuelainfantilmisprimerospasos@hotmail.com  ,957644535,14700,14008305,Córdoba,Andalucía,Centro Privado
Palma Del Río,cmeipasitos@gmail.com  ,957643562,14700,14008123,Córdoba,Andalucía,Centro Privado
Arcoíris,  ,,14400,14013040,Córdoba,Andalucía,Centro Privado
La Luna,esculuna@gmail.com  ,957771463,14400,14010919,Córdoba,Andalucía,Centro Privado
Bambi Ii,info@escuelainfantilbambi.net  ,957542597,14800,14010831,Córdoba,Andalucía,Centro Privado
Ángel De La Guarda,escuelainfantilangeldelaguarda69@hotmail.com  ,957603461,14500,14007799,Córdoba,Andalucía,Centro Privado
Proyecto Educa,proyectoeducaavas@gmail.com  ,957609898,14500,14010725,Córdoba,Andalucía,Centro Privado
Bambi,rcarenas1@hotmail.com  ,957533546,14960,14601260,Córdoba,Andalucía,Centro Privado
Sotogordo,ceisotogordo@hotmail.com  ,957617151,14512,14010555,Córdoba,Andalucía,Centro Privado
"Jesús, María Y José",14006679.edu@juntadeandalucia.es  ,957190044,14420,14012527,Córdoba,Andalucía,Centro Privado
Juanita Méndez,14011407.edu@juntadeandalucia.es  ,687592737,14440,14011407,Córdoba,Andalucía,Centro Privado
Chacolines Albolote,info@escuelainfantilchacolinesalbolote.com  ,958988060,18220,18015021,Granada,Andalucía,Centro Privado
Galopín,18010321.edu@juntadeandalucia.es  ,958430684,18220,18010321,Granada,Andalucía,Centro Privado
Patosos,ceipatosos@gmail.com  ,640337201,18220,18014105,Granada,Andalucía,Centro Privado
Parque De Los Soles,sorayablascosanchez@hotmail.com  ,657665212,18620,18015353,Granada,Andalucía,Centro Privado
La Tribu,ei.latribu@hotmail.com  ,,18690,18015407,Granada,Andalucía,Centro Privado
Baúl De Ilusiones,18013711.edu@juntadeandalucia.es  ,637580055,18102,18013711,Granada,Andalucía,Centro Privado
D'Nenes,info@d-nenes.es  ,958551165,18100,18014831,Granada,Andalucía,Centro Privado
Monigotes,marinals_75@hotmail.com  ,625057571,18100,18015237,Granada,Andalucía,Centro Privado
Colorín Colorao,araceli@colorincolorao.com  ,617687907,18230,18014403,Granada,Andalucía,Centro Privado
Mediterráneo Baza,18013411.edu@juntadeandalucia.es  ,635290078,18800,18013411,Granada,Andalucía,Centro Privado
