Nombre,Email,Telefono,Codigo_Postal,Codeigo_Escuela
Denominación específica: Rayuela,Dirección de correo electrónico: lolapfernandez@hotmail.com  ,Teléfono: 696397064,Código postal: 04006,04009769
Denominación específica: San Pablo,Dirección de correo electrónico: sanpablo.guarderia@gmail.com  ,Teléfono: 950084105,Código postal: 04002,04010292
Denominación específica: Trampolín,Dirección de correo electrónico: guarderiatrampolin@hotmail.com  ,Teléfono: 950262369,Código postal: 04002,04008081
Denominación específica: Villa Jardín II,Dirección de correo electrónico: ceivillajardin@gmail.com  ,Teléfono: 655405509,Código postal: 04009,04010322
Denominación específica: Villablanca,Dirección de correo electrónico: info@eivillablanca.com  ,Teléfono: 950144888,Código postal: 04009,04008959
Denominación específica: Virgen del Carmen,Dirección de correo electrónico: soylakesoy@hotmail.com  ,Teléfono: 950261861,Código postal: 04003,04005740
Denominación específica: Háblame Bonito,Dirección de correo electrónico: vanessa.da@hotmail.es  ,Teléfono: 628499944,Código postal: 04628,04011375
Denominación específica: Pekes,Dirección de correo electrónico: pekes.benahadux@gmail.com  ,Teléfono: 950312329,Código postal: 04410,04009903
Denominación específica: Fabulino School,Dirección de correo electrónico: ceifabulinoschool@gmail.com  ,Teléfono: 675026719,Código postal: 04760,04011429
Denominación específica: Mofly,Dirección de correo electrónico: ceimofly@gmail.com  ,Teléfono: 675013376,Código postal: 04110,04006574
Denominación específica: El Oso Bussi,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04140,04011430
Denominación específica: Ne-Nes,Dirección de correo electrónico: romeduca@andaluciajunta.es  ,Teléfono: 950297716,Código postal: 04130,04009861
Denominación específica: Pequeños Genios,Dirección de correo electrónico: pequegenios77@gmail.com  ,Teléfono: 950600289,Código postal: 04130,04008561
Denominación específica: Caritas Felices II,Dirección de correo electrónico:   ,Teléfono: 626283093,Código postal: 04700,04011612
Denominación específica: Colorín Colorado 2,Dirección de correo electrónico: monimuriana@hotmail.com  ,Teléfono: 630177282,Código postal: 04700,04010917
Denominación específica: Ejido-Baby,Dirección de correo electrónico: ejidobaby@hotmail.com  ,Teléfono: 950489304,Código postal: 04700,04008601
Denominación específica: El Patio,Dirección de correo electrónico: escuelaelpatio@gmail.com  ,Teléfono: 665446595,Código postal: 04700,04011363
Denominación específica: Gnomos,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04700,04000444
Denominación específica: Gnomos III,Dirección de correo electrónico: gnomosei@gmail.com  ,Teléfono: 950489496,Código postal: 04700,04010449
Denominación específica: Mundo de Colores,Dirección de correo electrónico: escuelainfantilmundodecolores@gmail.com  ,Teléfono: 643375385,Código postal: 04700,04011466
Denominación específica: Mundopark,Dirección de correo electrónico: mundoparkschool@hotmail.es  ,Teléfono: 654683936,Código postal: 04700,04010541
Denominación específica: Paidós,"Dirección de correo electrónico: travesuras_olga@hotmail,com  ",Teléfono: 646200059,Código postal: 04700,04010383
Denominación específica: Travesuras,Dirección de correo electrónico: travesuras_olga@hotmail.com  ,Teléfono: 646200059,Código postal: 04700,04008558
Denominación específica: Hogar Montessori,Dirección de correo electrónico: hogarmontessori.info@gmail.com  ,Teléfono: 696691373,Código postal: 04721,04011387
Denominación específica: Burbujas de Colores,Dirección de correo electrónico: dory@burbujasdecolores.com  ,Teléfono: 627926859,Código postal: 04711,04009162
Denominación específica: Bambi,Dirección de correo electrónico: INFO@KINDERGARRUCHA.ES  ,Teléfono: 950460472,Código postal: 04630,04010498
Denominación específica: Dumbo,Dirección de correo electrónico: casedumbo@elsaliente.com  ,Teléfono: 950301603,Código postal: 04230,04008777
Denominación específica: La Guarde,Dirección de correo electrónico: laguardehuercal@gmail.com  ,Teléfono: 610536459,Código postal: 04230,04009800
Denominación específica: Los Patitos,Dirección de correo electrónico: marevaescuelainfantil@gmail.com  ,Teléfono: 950060252,Código postal: 04230,04009241
Denominación específica: Villa Inés,Dirección de correo electrónico: anavillaines@hotmail.com  ,Teléfono: 950145280,Código postal: 04230,04001862
Denominación específica: Campanilla,Dirección de correo electrónico: cei_campanilla@yahoo.es  ,Teléfono: 950616111,Código postal: 04600,04008571
Denominación específica: El Patio,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04600,04006461
Denominación específica: Gruñones,Dirección de correo electrónico: grunones@grunones.es  ,Teléfono: 661294332,Código postal: 04120,04008625
Denominación específica: Todo se Andará,Dirección de correo electrónico: eitodoseandara@gmail.com  ,Teléfono: 678686055,Código postal: 04120,04010711
Denominación específica: Nuestra Señora de la Vega,Dirección de correo electrónico: ceinsdelavega@gmail.com  ,Teléfono: 619822124,Código postal: 04770,04011481
Denominación específica: La Pequeña Esponja,Dirección de correo electrónico: alebeavn@gmail.com  ,Teléfono: 678236659,Código postal: 04745,04010590
Denominación específica: Pequeños Sabios,Dirección de correo electrónico: pequesabios16@gmail.com  ,Teléfono: 617368117,Código postal: 04738,04011302
Denominación específica: La Nana,Dirección de correo electrónico: centro.lanana@gmail.com  ,Teléfono: 637807614,Código postal: 04716,04010887
Denominación específica: Colorín Colorado,Dirección de correo electrónico: escuelacolorincolorado@gmail.com  ,Teléfono: 615538483,Código postal: 04680,04009897
Denominación específica: Luna lunera,Dirección de correo electrónico: guarderialunalunera@gmail.com  ,Teléfono: 620917924,Código postal: 04131,04010620
Denominación específica: Arcilla,Dirección de correo electrónico: guarderiaarcilla@gmail.com  ,Teléfono: 667003848,Código postal: 04740,04002246
Denominación específica: Bajo el Mar 2,Dirección de correo electrónico: guarderiasbajoelmar@gmail.com  ,Teléfono: 950656614,Código postal: 04740,04009332
Denominación específica: Carrusel,Dirección de correo electrónico: info@escuelainfantilcarrusel.es  ,Teléfono: 950178419,Código postal: 04740,04010346
Denominación específica: La Casita de Chocolate,Dirección de correo electrónico: info@lacasitadechocolate.net  ,Teléfono: 950327583,Código postal: 04740,04004711
Denominación específica: Oyovaren,Dirección de correo electrónico: marymar1279@hotmail.com  ,Teléfono: 950338199,Código postal: 04740,04009782
Denominación específica: Stella Maris-La Rambla,Dirección de correo electrónico: ceistellamaris@gmail.com  ,Teléfono: 722161002,Código postal: 04740,04010334
Denominación específica: Bambi,Dirección de correo electrónico: iblascoaltuna@gmail.com  ,Teléfono: 636610084,Código postal: 04710,04008935
Denominación específica: Los Diminutos,Dirección de correo electrónico: yolicallejón@hotmail.com  ,Teléfono: 616347740,Código postal: 04710,04009277
Denominación específica: Puppy's,Dirección de correo electrónico: puppy_ludoteca@hotmail.com  ,Teléfono: 647774978,Código postal: 04620,04011521
Denominación específica: A'TETE,Dirección de correo electrónico: mariateressa_@hotmail.com  ,Teléfono: 619555835,Código postal: 11205,11013156
Denominación específica: Baby Planet,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11207,11013326
Denominación específica: El Patio de mi Casa,Dirección de correo electrónico: guardepatiodemicasa@gmail.com  ,Teléfono: 647244183,Código postal: 11205,11012905
Denominación específica: La Yedra,Dirección de correo electrónico: echescu@hotmail.com  ,Teléfono: 856584345,Código postal: 11207,11011111
Denominación específica: Los Pastores,Dirección de correo electrónico: lospastores@gdarunda.es  ,Teléfono: 956603090,Código postal: 11206,11007156
Denominación específica: Pasitos,Dirección de correo electrónico: 11012887.pasitos.edu@juntadeandalucia.es  ,Teléfono: 678961725,Código postal: 11206,11012887
Denominación específica: Coleguarde,Dirección de correo electrónico: coleguarde@hotmail.com  ,Teléfono: 610535489,Código postal: 11630,11012577
Denominación específica: Las Galletitas,Dirección de correo electrónico: lasgalletitas@gmail.com  ,Teléfono: 956700859,Código postal: 11630,11012358
Denominación específica: Virgen del Carmen,Dirección de correo electrónico: gerencia@cei-virgendelcarmen.es  ,Teléfono: 692165344,Código postal: 11630,11013296
Denominación específica: Bahía Blanca,Dirección de correo electrónico: guarderia.bahiablanca@gmail.com  ,Teléfono: 956256906,Código postal: 11007,11012747
Denominación específica: Casa de Niños y Niñas,Dirección de correo electrónico: lacasitacadiz@hotmail.com  ,Teléfono: 956288666,Código postal: 11007,11011147
Denominación específica: Maín,Dirección de correo electrónico: titularcadiz@salesianas.org  ,Teléfono: 956251607,Código postal: 11008,11013119
Denominación específica: Parvulitos Villa Esther,Dirección de correo electrónico: parvulitosvillaesther@gmail.com  ,Teléfono: 665853342,Código postal: 11009,11012292
Denominación específica: San Martín,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11005,11012164
Denominación específica: Zona Franca,Dirección de correo electrónico: elpatiozf@live.com  ,Teléfono: 956200402,Código postal: 11011,11003370
Denominación específica: Badulaque,Dirección de correo electrónico: badulaque2@gmail.com  ,Teléfono: 616985709,Código postal: 11130,11012139
Denominación específica: Caramelos,Dirección de correo electrónico: 11012000.edu@juntadeandalucia.es  ,Teléfono: 956536352,Código postal: 11130,11012000
Denominación específica: Cuenta Cuentos,Dirección de correo electrónico: escuelacuentacuentos@hotmail.com / 11012449.edu@juntadeandalucia.es  ,Teléfono: 658113351,Código postal: 11130,11012449
Denominación específica: El Almendral,Dirección de correo electrónico: 11009396.edu@juntadeandalucia.es  ,Teléfono: 956105657,Código postal: 11130,11009396
Denominación específica: El Mayorazgo,Dirección de correo electrónico: allkidschiclana@allkids.es  ,Teléfono: 956406583,Código postal: 11130,11011524
Denominación específica: El Principito,Dirección de correo electrónico: 11011858.edu@juntadeandalucia.es  ,Teléfono: 669302190,Código postal: 11130,11011858
Denominación específica: El Recreo,Dirección de correo electrónico: cei.elrecreo@hotmail.com  ,Teléfono: 667508356,Código postal: 11130,11012334
Denominación específica: La Eureka,Dirección de correo electrónico: inma.rodriguezgonzalez@alum.uca.es  ,Teléfono: 609637140,Código postal: 11130,11012841
Denominación específica: Marionetas,Dirección de correo electrónico: maifra2@hotmail.com  ,Teléfono: 956533848,Código postal: 11130,11006589
Denominación específica: Aupa,Dirección de correo electrónico: 11013077.educ@juntadeandalucia.es  ,Teléfono: 617015479,Código postal: 11140,11013077
Denominación específica: Caballito de Mar II,Dirección de correo electrónico: 11012152.edu@juntadeandalucia.es  ,Teléfono: 956456206,Código postal: 11140,11012152
Denominación específica: Garabatines,Dirección de correo electrónico: chica_rgc@hotmail.com  ,Teléfono: 699880144,Código postal: 11379,11013247
Denominación específica: Centro Bilingüe,Dirección de correo electrónico: herminia.vela@gmail.com  ,Teléfono: 667420277,Código postal: 11500,11008860
Denominación específica: El Cole,Dirección de correo electrónico: ceielcole@ceielcole.com  ,Teléfono: 956851960,Código postal: 11500,11012309
Denominación específica: La Guarde,Dirección de correo electrónico: laguardecei@gmail.com  ,Teléfono: 856582734,Código postal: 11500,11012784
Denominación específica: Los Patitos,Dirección de correo electrónico: 11010647aberroes@juntadeandalucia.es  ,Teléfono: 956480642,Código postal: 11500,11010647
Denominación específica: Mamá Oca,Dirección de correo electrónico: laurabj@hotmail.es  ,Teléfono: 956541144,Código postal: 11500,11010477
Denominación específica: Pinocho,Dirección de correo electrónico: cristina.macias@ceipinocho.es  ,Teléfono: 956876952,Código postal: 11500,11009323
Denominación específica: Virgen de la Caridad,Dirección de correo electrónico: guarderiavirgencaridad@hotmail.com  ,Teléfono: 956875812,Código postal: 11500,11005299
Denominación específica: Mary Poppins,Dirección de correo electrónico: adriana_blanquez@hotmail.com  ,Teléfono: 677572607,Código postal: 11379,11012425
Denominación específica: Attendis Allkids Jerez,Dirección de correo electrónico: allkidsjerez@allkids.es  ,Teléfono: 956305604,Código postal: 11407,11603592
Denominación específica: Bambú,Dirección de correo electrónico: 11012802.edu@juntadeandalucia.es  ,Teléfono: 609622797,Código postal: 11407,11012802
Denominación específica: Colorines,Dirección de correo electrónico: 11012930.edu@juntadeandalucia.es  ,Teléfono: 956312711,Código postal: 11407,11012930
Denominación específica: Educa,Dirección de correo electrónico: centroinfantileduca@gmail.com  ,Teléfono: 605927163,Código postal: 11408,11012966
Denominación específica: El Golfillo 1,Dirección de correo electrónico: guarderiainfantilelgolfillo@hotmail.com  ,Teléfono: 620877189,Código postal: 11407,11012553
Denominación específica: El Nido,Dirección de correo electrónico: e.i.elnido@gmail.com  ,Teléfono: 956339624,Código postal: 11405,11012875
Denominación específica: El Recreo,Dirección de correo electrónico: info@elrecreodejerez.com  ,Teléfono: 856050983,Código postal: 11407,11012221
Denominación específica: El Sonajero,Dirección de correo electrónico: majepa@hotmail.es  ,Teléfono: 658919586,Código postal: 11405,11012814
Denominación específica: La Granja,Dirección de correo electrónico: escuelainfantil_lagranja@hotmail.com  ,Teléfono: 956312716,Código postal: 11405,11011998
Denominación específica: Lolita,Dirección de correo electrónico: guarderialolita@yahoo.es  ,Teléfono: 856927659,Código postal: 11402,11012541
Denominación específica: Marina,Dirección de correo electrónico: escuelainfantilmarina@gmail.com  ,Teléfono: 956140457,Código postal: 11406,11003436
Denominación específica: Montealto II,Dirección de correo electrónico: escuelainfantilmontealto@gmail.com  ,Teléfono: 691625611,Código postal: 11407,11012851
Denominación específica: Pequeño Pony,Dirección de correo electrónico: susanaguarde@gmail.com  ,Teléfono: 665844342,Código postal: 11406,11013053
Denominación específica: Pipos,Dirección de correo electrónico: pburgos78@hotmail.com  ,Teléfono: 651116350,Código postal: 11407,11012140
Denominación específica: Sol y Luna Escuela Infantil Jerez,Dirección de correo electrónico: info@solylunajerez.es  ,Teléfono: 679697753,Código postal: 11407,11013107
Denominación específica: El Osito,Dirección de correo electrónico: asomejorana2002@gmail.com  ,Teléfono: 678676319,Código postal: 11330,11008756
Denominación específica: Lacasitos,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11300,11013338
Denominación específica: Educo,Dirección de correo electrónico: 11009025.edu@juntadeandalucia.es  ,Teléfono: 956411661,Código postal: 11170,11009025
Denominación específica: Sol,Dirección de correo electrónico: sol@kidsco.es  ,Teléfono: 956245920,Código postal: 11510,11012711
Denominación específica: La Tortuga,Dirección de correo electrónico: guarderialatortuga@hotmail.com  ,Teléfono: 956841669,Código postal: 11520,11011871
Denominación específica: Mi casita,Dirección de correo electrónico: 11008975.edu@juntadeandalucia.es  ,Teléfono: 956811092,Código postal: 11520,11008975
Denominación específica: Picobarro,Dirección de correo electrónico: ceibpicobarro@gmail.com  ,Teléfono: 956843564,Código postal: 11520,11011950
Denominación específica: Arco Iris,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11100,11010659
Denominación específica: Don Peluso,Dirección de correo electrónico: ceidonpeluso@gmail.com  ,Teléfono: 956884563,Código postal: 11100,11008549
Denominación específica: El Desván,Dirección de correo electrónico: esindis@hotmail.com  ,Teléfono: 956887520,Código postal: 11100,11009116
Denominación específica: El Jardín,Dirección de correo electrónico: eljardincadiz@hotmail.com  ,Teléfono: 856040179,Código postal: 11100,11012620
Denominación específica: El Parque Centro,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11100,11004532
Denominación específica: Fantasía,Dirección de correo electrónico: 11012279.edu@juntadeandalucia.es  ,Teléfono: 956943822,Código postal: 11100,11012279
Denominación específica: Jen,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11100,11008604
Denominación específica: La Pradera,Dirección de correo electrónico: eilapradera@yahoo.es  ,Teléfono: 956898801,Código postal: 11100,11008537
Denominación específica: Acuarela,Dirección de correo electrónico: asomejorana2002@gmail.com  ,Teléfono: 678676319,Código postal: 11340,11007715
Denominación específica: Pequeguardería,Dirección de correo electrónico: asomejorana2002@gmail.com  ,Teléfono: 678676319,Código postal: 11368,11011101
Denominación específica: Bambi,Dirección de correo electrónico: fernandezreymariajose@gmail.com  ,Teléfono: 610699503,Código postal: 11540,11012826
Denominación específica: El jardín de los sueños,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11540,11013341
Denominación específica: Fernando de Magallanes,Dirección de correo electrónico: adminsitracion@afanas.es  ,Teléfono: 956369743,Código postal: 11540,11013260
Denominación específica: La Cajita de Pandora,Dirección de correo electrónico: angelusmoscoso@hotmail.com  ,Teléfono: 607479576,Código postal: 11540,11012127
Denominación específica: Mi Primer Cole,Dirección de correo electrónico:   ,Teléfono: 699269251,Código postal: 11540,11012346
Denominación específica: Peter Pan,Dirección de correo electrónico: asomejorana2002@gmail.com  ,Teléfono: 678676319,Código postal: 11369,11008616
Denominación específica: San Ramón,Dirección de correo electrónico: gerencia@cdp-sanramon.es  ,Teléfono: 692165344,Código postal: 11650,11012498
Denominación específica: Pompitas,Dirección de correo electrónico: guarderiapompitasaguilar@gmail.com  ,Teléfono: 617277638,Código postal: 14920,14012308
Denominación específica: Los Duendecillos,Dirección de correo electrónico: escuelainfantillosduendecillos@hotmail.com  ,Teléfono: 639359753,Código postal: 14610,14012151
Denominación específica: Padre Nuestro,Dirección de correo electrónico: guarderiapnuestro@gmail.com  ,Teléfono: 957635262,Código postal: 14720,14007489
Denominación específica: Almedina,Dirección de correo electrónico: escuela_almedina@yahoo.es  ,Teléfono: 957671487,Código postal: 14850,14011274
Denominación específica: Los Peques,Dirección de correo electrónico: lospeques2008@hotmail.com  ,Teléfono: 957670176,Código postal: 14850,14007015
Denominación específica: Arco Iris,Dirección de correo electrónico: eiarcoiris@hotmail.com  ,Teléfono: 957524994,Código postal: 14940,14010737
Denominación específica: Canguros Nana,Dirección de correo electrónico: ceicangurosnana@hotmail.com  ,Teléfono: 685577942,Código postal: 14940,14011201
Denominación específica: El País de los Cuentos,Dirección de correo electrónico: eielpaisdeloscuentos@gmail.com  ,Teléfono: 628230656,Código postal: 14940,14012278
Denominación específica: El Tiovivo 2,Dirección de correo electrónico: parquedebaena@hotmail.com  ,Teléfono: 645117513,Código postal: 14840,14010920
Denominación específica: Acuarelas,Dirección de correo electrónico: reginagracia@hotmail.com  ,Teléfono: 957325733,Código postal: 14014,14011341
Denominación específica: Babis,Dirección de correo electrónico: centrodeeducacioninfantilbabis@gmail.com  ,Teléfono: 622628403,Código postal: 14004,14011742
Denominación específica: Center Baby,Dirección de correo electrónico: guarderiacenterbaby@gmail.com  ,Teléfono: 617649187,Código postal: 14006,14011754
Denominación específica: Chiquitines Guay,Dirección de correo electrónico: chiquitinesguay@yahoo.es  ,Teléfono: 637723158,Código postal: 14005,14011262
Denominación específica: Chuitos,Dirección de correo electrónico: escuelainfantilchuitos@hotmail.com  ,Teléfono: 633417866,Código postal: 14012,14012059
Denominación específica: Chupetines la Arruzafa,Dirección de correo electrónico: chupetineseilaarruzafa@gmail.com  ,Teléfono: 957612759,Código postal: 14012,14013003
Denominación específica: Cuenta Cuentos I,Dirección de correo electrónico: cuentacuentosunocordoba@hotmail.com  ,Teléfono: 957073300,Código postal: 14010,14011596
Denominación específica: Cuenta Cuentos III,Dirección de correo electrónico: cuentacuentosdoscordoba@hotmail.com  ,Teléfono: 957472000,Código postal: 14002,14012291
Denominación específica: Dumbi,Dirección de correo electrónico: rosariomontilla@hotmail.es  ,Teléfono: 658989181,Código postal: 14006,14011298
Denominación específica: Educare Eduquere,Dirección de correo electrónico: educare-eduquere@educare-eduquere.es  ,Teléfono: 957420438,Código postal: 14009,14011456
Denominación específica: El Bosque,Dirección de correo electrónico: eielbosque@gmail.com  ,Teléfono: 957082139,Código postal: 14006,14011936
Denominación específica: El Cuco,Dirección de correo electrónico: eielcuco@gmail.com  ,Teléfono: 957486925,Código postal: 14001,14601120
Denominación específica: El Jardín de las Hadas,Dirección de correo electrónico:   ,Teléfono:,Código postal: 14014,14012591
Denominación específica: El Jardincito II,Dirección de correo electrónico:   ,Teléfono:,Código postal: 14013,14010944
Denominación específica: El Patito Colorín,Dirección de correo electrónico: patitocolorin@hotmail.es  ,Teléfono: 957002932,Código postal: 14001,14010178
Denominación específica: El Puzzle,Dirección de correo electrónico: e.i.elpuzzle@hotmail.com  ,Teléfono: 637905415,Código postal: 14010,14007507
Denominación específica: El Tren,Dirección de correo electrónico: guarderiaeltren@yahoo.es   ,Teléfono: 957483605,Código postal: 14001,14007039
Denominación específica: El Vial,Dirección de correo electrónico: escuelainfantilelvial@hotmail.es  ,Teléfono: 957830810,Código postal: 14006,14010245
Denominación específica: Érase una vez I,Dirección de correo electrónico: eraseunavezei@gmail.com  ,Teléfono: 672358984,Código postal: 14011,14008512
Denominación específica: Erase una vez III,Dirección de correo electrónico: eraseunavezei@gmail.com  ,Teléfono: 672358982,Código postal: 14006,14011419
Denominación específica: Fantasía,Dirección de correo electrónico: natysibila@gmail.com  ,Teléfono: 957047248,Código postal: 14006,14011602
Denominación específica: Fred S. Keller,Dirección de correo electrónico:   ,Teléfono: 957356401,Código postal: 14012,14012311
Denominación específica: Garabatos 2,Dirección de correo electrónico: rosa@escuelainfantilgarabatos.com  ,Teléfono: 957270163,Código postal: 14006,14011195
Denominación específica: Globaluna,Dirección de correo electrónico: beancamo@hotmail.com  ,Teléfono: 691662168,Código postal: 14009,14011882
Denominación específica: Happy Children 1,Dirección de correo electrónico: comercialafisa@hotmail.com  ,Teléfono: 957818075,Código postal: 14011,14011894
Denominación específica: Happy Days,Dirección de correo electrónico: cordoba@escuelahappydays.com  ,Teléfono: 957084082,Código postal: 14005,14011390
Denominación específica: Jardinalba,Dirección de correo electrónico: jardinalba@hotmail.com  ,Teléfono: 957275201,Código postal: 14012,14007957
Denominación específica: Jesús Divino Obrero,Dirección de correo electrónico: guarderiajesusdivinoobrero@gmail.com  ,Teléfono: 957235794,Código postal: 14009,14012370
Denominación específica: Jugando en Azahara,Dirección de correo electrónico: jugandoenazahara@gmail.com  ,Teléfono: 957811777,Código postal: 14005,14012011
Denominación específica: Kid's Garden,Dirección de correo electrónico: kidsgarden.cordoba@hotmail.com  ,Teléfono: 629930952,Código postal: 14012,14008354
Denominación específica: La Casa del Árbol,Dirección de correo electrónico: contabilidad@eilacasadelarbol.com  ,Teléfono: 677285585,Código postal: 14007,14012163
Denominación específica: La Sierra,Dirección de correo electrónico: guarderialasierra@yahoo.es  ,Teléfono: 957402402,Código postal: 14012,14601223
Denominación específica: Los Azahares,Dirección de correo electrónico: CAPEMA10@HOTMAIL.COM  ,Teléfono: 957460291,Código postal: 14005,14006801
Denominación específica: Los Coquitos,Dirección de correo electrónico: e.i.coquitos@gmail.com  ,Teléfono: 957114967,Código postal: 14004,14012540
Denominación específica: Los Soletes,Dirección de correo electrónico: losoletes13@hotmail.com  ,Teléfono: 646486579,Código postal: 14011,14009735
Denominación específica: Mamá Osa,Dirección de correo electrónico: carmenmillan59@yahoo.es  ,Teléfono: 616415173,Código postal: 14014,14007349
Denominación específica: Manolo Alvaro I,Dirección de correo electrónico: arealespilar@gmail.com  ,Teléfono: 957258600,Código postal: 14007,14011791
Denominación específica: María Auxiliadora,Dirección de correo electrónico: mariaauxiliadoradecordoba@gmail.com  ,Teléfono: 957822964,Código postal: 14002,14007027
Denominación específica: Mi Casita,Dirección de correo electrónico: escuelainfantilmicasita@gmail.com  ,Teléfono: 957610113,Código postal: 14011,14012242
Denominación específica: Mi Granja II,Dirección de correo electrónico: migranjacb@hotmail.com  ,Teléfono: 957464199,Código postal: 14011,14010233
Denominación específica: Mickey,Dirección de correo electrónico: dm_e.mickey@hotmail.com  ,Teléfono: 957455138,Código postal: 14005,14010208
Denominación específica: Mimos II,Dirección de correo electrónico: cei_mimos@hotmail.com  ,Teléfono: 957255936,Código postal: 14014,14010841
