Nombre,Email,Telefono,Codigo_Postal,Codigo_Escuela
Denominación específica: Babysol,Dirección de correo electrónico: 14011021.edu@juntadeandalucia.es  ,Teléfono: 616886052,Código postal: 14660,14011021
Denominación específica: Cerro Muriano,Dirección de correo electrónico: cerro.muriano@kidsco.es  ,Teléfono: 957358596,Código postal: 14350,14011699
Denominación específica: Cruz de Juárez,Dirección de correo electrónico: 14600644.edu@juntadeandalucia.es  ,Teléfono: 957734617,Código postal: 14006,14600644
Denominación específica: La Victoria,Dirección de correo electrónico: 14010385.edu@juntadeandalucia.es  ,Teléfono: 957379772,Código postal: 14004,14010385
Denominación específica: Margaritas,Dirección de correo electrónico: 14007301.edu@juntadeandalucia.es  ,Teléfono: 957278553,Código postal: 14011,14007301
Denominación específica: Nuestra Señora de la Soledad,Dirección de correo electrónico: 14010373.edu@juntadeandalucia.es  ,Teléfono: 957354068,Código postal: 14007,14010373
Denominación específica: Parque Figueroa,Dirección de correo electrónico: 14010351.edu@juntadeandalucia.es  ,Teléfono: 957354070,Código postal: 14011,14010351
Denominación específica: San José,Dirección de correo electrónico: 14010415.edu@juntadeandalucia.es  ,Teléfono: 957292549,Código postal: 14013,14010415
Denominación específica: Santuario,Dirección de correo electrónico: 14010439.edu@juntadeandalucia.es  ,Teléfono: 957354102,Código postal: 14010,14010439
Denominación específica: Dos Torres,Dirección de correo electrónico: 14010592.edu@juntadeandalucia.es  ,Teléfono: 957135017,Código postal: 14460,14010592
Denominación específica: Abuela Santa Ana I,Dirección de correo electrónico: 14012497.edu@juntadeandalucia.es  ,Teléfono: 638298038,Código postal: 14470,14012497
Denominación específica: Encinas Reales,Dirección de correo electrónico: lopezlinaresgm@gmail.com  ,Teléfono: 637865069,Código postal: 14913,14008263
Denominación específica: Espeleña,Dirección de correo electrónico: eiespiel@gmail.com  ,Teléfono: 957363465,Código postal: 14220,14011523
Denominación específica: Virgen de Gracia I,Dirección de correo electrónico: 14012047.edu@juntadeandalucia.es  ,Teléfono: 957584493,Código postal: 14290,14012047
Denominación específica: Pequeños Locos,Dirección de correo electrónico: ayuntamiento@fuentecarreteros.es  ,Teléfono: 857891630,Código postal: 14110,14011870
Denominación específica: Hinojosa del Duque,Dirección de correo electrónico: 14012141.edu@juntadeandalucia.es  ,Teléfono: 647863815,Código postal: 14270,14012141
Denominación específica: Iznájar,Dirección de correo electrónico: escuelainfantil@iznajar.es  ,Teléfono: 957534006,Código postal: 14970,14008330
Denominación específica: Matrona María del Valle,Dirección de correo electrónico: eimatronamariadelvalle@hotmail.com  ,Teléfono: 957300085,Código postal: 14100,14010683
Denominación específica: La Rambla,Dirección de correo electrónico: guarderambla@yahoo.es  ,Teléfono: 957683153,Código postal: 14540,14010580
Denominación específica: La Estrella,Dirección de correo electrónico: 14010440.edu@juntadeandalucia.es  ,Teléfono: 957596206,Código postal: 14900,14010440
Denominación específica: Pinocho,Dirección de correo electrónico: gemelos7@hotmail.es  ,Teléfono: 957667142,Código postal: 14880,14010579
Denominación específica: Montemayor,Dirección de correo electrónico: emllamascarmona@hotmail.com  ,Teléfono: 957375180,Código postal: 14530,14010622
Denominación específica: Las Viñas,Dirección de correo electrónico: 14010476.edu@juntadeandalucia.es  ,Teléfono: 957699888,Código postal: 14550,14010476
Denominación específica: Piedra del Cid,Dirección de correo electrónico:   ,Teléfono:,Código postal: 14930,14012072
Denominación específica: Clara Campoamor,Dirección de correo electrónico: 14011031.edu@juntadeandalucia.es  ,Teléfono: 653886672,Código postal: 14857,14011031
Denominación específica: Nuestra Señora de Belén,Dirección de correo electrónico: 14010488.edu@juntadeandalucia.es  ,Teléfono: 957643058,Código postal: 14700,14010488
Denominación específica: Vicente Nacarino,Dirección de correo electrónico: 14600668.edu@juntadeandalucia.es  ,Teléfono: 957719504,Código postal: 14700,14600668
Denominación específica: Pequeñines II,Dirección de correo electrónico: e.i.pedroabad@hotmail.com  ,Teléfono: 663605825,Código postal: 14630,14012552
Denominación específica: El Minero,Dirección de correo electrónico: 14010491.edu@juntadeandalucia.es  ,Teléfono: 957579614,Código postal: 14200,14010491
Denominación específica: Posadas,Dirección de correo electrónico: blancanievessc@hotmail.com  ,Teléfono: 957631165,Código postal: 14730,14008317
Denominación específica: Pozoblanco,Dirección de correo electrónico: escuelainfantil@pozoblanco.es      14011730.edu@juntadeandalucia.es  ,Teléfono: 957132250,Código postal: 14400,14011730
Denominación específica: Nuestra Señora de la Aurora,Dirección de correo electrónico: 14010518.edu@juntadeandalucia.es  ,Teléfono: 957559619,Código postal: 14800,14010518
Denominación específica: San Sebastián de los Ballesteros,Dirección de correo electrónico: escuelainfantilsansebastian@hotmail.com  ,Teléfono: 606961024,Código postal: 14150,14011109
Denominación específica: Torrecampo,Dirección de correo electrónico:   ,Teléfono:,Código postal: 14410,14012096
Denominación específica: Nuestra Señora de los Remedios,Dirección de correo electrónico: 14011717.edu@juntadeandalucia.es  ,Teléfono: 957006499,Código postal: 14420,14011717
Denominación específica: Villanueva del Rey,Dirección de correo electrónico: eimunicipalvvadelrey@hotmail.com  ,Teléfono: 957589426,Código postal: 14230,14010993
Denominación específica: Las Cruces,Dirección de correo electrónico: escuelainfantillascruces@hotmail.com  ,Teléfono: 957055123,Código postal: 14300,14011781
Denominación específica: Francisco Lucilo de Carvajal,Dirección de correo electrónico: 18009833.edu@juntadeandalucia.es  ,Teléfono: 958893587,Código postal: 18220,18009833
Denominación específica: Albuñuelas,Dirección de correo electrónico: 18010975.edu@juntadeandalucia.es  ,Teléfono: 958776071,Código postal: 18659,18010975
Denominación específica: Nido,Dirección de correo electrónico: 18013344.edu@juntadeandalucia.es  ,Teléfono: 958360876,Código postal: 18120,18013344
Denominación específica: Al-Ándalus,Dirección de correo electrónico: 18013885.edu@juntadeandalucia.es  ,Teléfono: 958651415,Código postal: 18690,18013885
Denominación específica: Los Marinos,Dirección de correo electrónico: 18013423.edu@juntadeandalucia.es  ,Teléfono: 958883195,Código postal: 18690,18013423
Denominación específica: Torrecuevas,Dirección de correo electrónico: 18013629.edu@juntadeandalucia.es  ,Teléfono: 958880826,Código postal: 18690,18013629
Denominación específica: Base Aérea de Armilla,Dirección de correo electrónico: 18013824.edu@juntadeandalucia.es  ,Teléfono: 958218679,Código postal: 18100,18013824
Denominación específica: Arco Iris,Dirección de correo electrónico: 18013289.edu@juntadeandalucia.es  ,Teléfono: 659578362,Código postal: 18230,18013289
Denominación específica: Duendes,Dirección de correo electrónico: 18009225.edu@juntadeandalucia.es  ,Teléfono: 958437143,Código postal: 18230,18009225
Denominación específica: Dama de Baza,Dirección de correo electrónico: 18013939.edu@juntadeandalucia.es  ,Teléfono: 958701299,Código postal: 18800,18013939
Denominación específica: Nube de Colores,Dirección de correo electrónico: 18014609.edu@juntadeandalucia.es  ,Teléfono: 958768278,Código postal: 18440,18014609
Denominación específica: Caleta de Salobreña,Dirección de correo electrónico: 18008051.edu@juntadeandalucia.es  ,Teléfono: 958649669,Código postal: 18680,18008051
Denominación específica: Fantasía Caniles,Dirección de correo electrónico: 18014245.edu@juntadeandalucia.es  ,Teléfono: 665207964,Código postal: 18810,18014245
Denominación específica: Padre Guirao,Dirección de correo electrónico: 18011037.edu@juntadeandalucia.es  ,Teléfono: 663619642,Código postal: 18818,18011037
Denominación específica: Arco Iris,Dirección de correo electrónico: 18601874.edu@juntadeandalucia.es  ,Teléfono: 958893709,Código postal: 18194,18601874
Denominación específica: Los Duendecillos,Dirección de correo electrónico: 18013496.edu@juntadeandalucia.es  ,Teléfono: 958515240,Código postal: 18339,18013496
Denominación específica: Villamena,Dirección de correo electrónico: 18013678.edu@juntadeandalucia.es  ,Teléfono: 958107310,Código postal: 18659,18013678
Denominación específica: Cúllar,Dirección de correo electrónico: 18011098.edu@juntadeandalucia.es  ,Teléfono: 958730291,Código postal: 18850,18011098
Denominación específica: La Viña,Dirección de correo electrónico: 18005852.edu@juntadeandalucia.es  ,Teléfono: 958894743,Código postal: 18195,18005852
Denominación específica: Garbancito,Dirección de correo electrónico: 18010380.edu@juntadeandalucia.es  ,Teléfono: 958781553,Código postal: 18650,18010380
Denominación específica: Infanta Leonor,Dirección de correo electrónico: 18013733.edu@juntadeandalucia.es  ,Teléfono: 697663835,Código postal: 18130,18013733
Denominación específica: La Ermita,Dirección de correo electrónico: 18602180.edu@juntadeandalucia.es  ,Teléfono: 958893711,Código postal: 18110,18602180
Denominación específica: Asunción Linares,Dirección de correo electrónico: info@escuelainfantilasuncionlinares.com  ,Teléfono: 958178056,Código postal: 18008,18014129
Denominación específica: El Príncipe,Dirección de correo electrónico: 18010631.edu@juntadeandalucia.es  ,Teléfono: 958544038,Código postal: 18009,18010631
Denominación específica: Juan Latino,Dirección de correo electrónico: 18013927.edu@juntadeandalucia.es  ,Teléfono: 958105731,Código postal: 18014,18013927
Denominación específica: Portal de Belén,Dirección de correo electrónico: 18010628.edu  ,Teléfono: 958544034,Código postal: 18011,18010628
Denominación específica: Virgen de Loreto,Dirección de correo electrónico: 18010665.edu@juntadeandalucia.es  ,Teléfono: 958544030,Código postal: 18007,18010665
Denominación específica: Virgen Inmaculada,Dirección de correo electrónico: 18010677.edu@juntadeandalucia.es  ,Teléfono: 958162027,Código postal: 18014,18010677
Denominación específica: Clara Campoamor,Dirección de correo electrónico: guardehuscar@yahoo.es  ,Teléfono: 678615124,Código postal: 18830,18012182
Denominación específica: Saltarines,Dirección de correo electrónico: 18010151.edu@juntadeandalucia.es  ,Teléfono: 958333996,Código postal: 18360,18010151
Denominación específica: Íllora,Dirección de correo electrónico: guarderia@ayuntamientodeill 18012391.edu@juntadeandalucia.es  ,Teléfono: 958463712,Código postal: 18260,18012391
Denominación específica: El Almendro Mágico,Dirección de correo electrónico: elalmendromagico@hotmail.com  ,Teléfono: 958106438,Código postal: 18550,18013976
Denominación específica: La Herradura,Dirección de correo electrónico: 18010410.edu@juntadeandalucia.es  ,Teléfono: 958827883,Código postal: 18697,18010410
Denominación específica: Arco Iris,Dirección de correo electrónico: 18013204.edu@juntadeandalucia.es  ,Teléfono: 958613110,Código postal: 18750,18013204
Denominación específica: Láchar,Dirección de correo electrónico: 18013630.edu@juntadeandalucia.es  ,Teléfono: 664264648,Código postal: 18327,18013630
Denominación específica: Arco Iris,Dirección de correo electrónico: 18009584.edu@juntadeandalucia.es  ,Teléfono: 958760077,Código postal: 18494,18009584
Denominación específica: El Bosque de Darwin,Dirección de correo electrónico: 18014099.edu@juntadeandalucia.es  ,Teléfono: 958415807,Código postal: 18200,18014099
Denominación específica: Mondújar,Dirección de correo electrónico: 18010070.edu@juntadeandalucia.es  ,Teléfono: 958795357,Código postal: 18656,18010070
Denominación específica: Elena Martín Vivaldi,Dirección de correo electrónico: eielenamartinvivaldi@hotmail.com  ,Teléfono: 675639931,Código postal: 18561,18014737
Denominación específica: Los Almendros,Dirección de correo electrónico: 18010771.edu@juntadeandalucia.es  ,Teléfono: 958603405,Código postal: 18600,18010771
Denominación específica: Río Ebro,Dirección de correo electrónico: 18009705.edu@juntadeandalucia.es  ,Teléfono: 958649535,Código postal: 18600,18009705
Denominación específica: Los Almendros,Dirección de correo electrónico: 18013502.edu@juntadeandalucia.es  ,Teléfono: 958777863,Código postal: 18657,18013502
Denominación específica: Órgiva,Dirección de correo electrónico: 18014130.edu@juntadeandalucia.es  ,Teléfono: 958784949,Código postal: 18400,18014130
Denominación específica: La Paloma,Dirección de correo electrónico: 18013575.edu@juntadeandalucia.es  ,Teléfono: 958790923,Código postal: 18640,18013575
Denominación específica: Pasitos,Dirección de correo electrónico: eimunicipaldepeligros@gmail.com  ,Teléfono: 958405053,Código postal: 18210,18014324
Denominación específica: Media Luna,Dirección de correo electrónico: 18602179.edu@juntadeandalucia.es  ,Teléfono: 958893274,Código postal: 18240,18602179
Denominación específica: Puebla de Don Fadrique,Dirección de correo electrónico:   ,Teléfono:,Código postal: 18820,18015471
Denominación específica: Los Pitufos,Dirección de correo electrónico: 18012546.edu@juntadeandalucia.es  ,Teléfono: 671083663,Código postal: 18102,18012546
Denominación específica: Gloria Fuertes,Dirección de correo electrónico: 18012421.edu@juntadeandalucia.es  ,Teléfono: 617910330,Código postal: 18310,18012421
Denominación específica: Juan Ramón Jiménez,Dirección de correo electrónico: 18008129.edu@juntadeandalucia.es  ,Teléfono: 958649500,Código postal: 18680,18008129
Denominación específica: Fernando de los Ríos,Dirección de correo electrónico: centrofernandodelosrios@hotmail.com  ,Teléfono: 678679360,Código postal: 18320,18014774
Denominación específica: Virgen del Martirio,Dirección de correo electrónico: 18013538.edu@juntadeandalucia.es  ,Teléfono: 647886837,Código postal: 18480,18013538
Denominación específica: El Principito,Dirección de correo electrónico: 18010483.edu@juntadeandalucia.es  ,Teléfono: 958658432,Código postal: 18670,18010483
Denominación específica: Ventas de Zafarraya,Dirección de correo electrónico: 18013794.edu@juntadeandalucia.es  ,Teléfono: 958362324,Código postal: 18125,18013794
Denominación específica: Gloria Fuertes,Dirección de correo electrónico: 18013642.edu@juntadeandalucia.es  ,Teléfono: 669210056,Código postal: 18128,18013642
Denominación específica: Gloria Fuertes,Dirección de correo electrónico: 18014336.edu@juntadeandalucia.es  ,Teléfono: 680505474,Código postal: 18291,18014336
Denominación específica: La Fragua,Dirección de correo electrónico: s_huelva@hotmail.com  ,Teléfono: 959355879,Código postal: 21110,21006907
Denominación específica: El Zampullín,Dirección de correo electrónico: 21006737.edu@juntadeandalucia.es  ,Teléfono: 959406051,Código postal: 21730,21006737
Denominación específica: Los Cascabeles,Dirección de correo electrónico: guarderia@aytoalosno.es  ,Teléfono: 959396098,Código postal: 21520,21006749
Denominación específica: La Julianita,Dirección de correo electrónico: 21600994.edu@juntadeandalucia.es  ,Teléfono: 959129533,Código postal: 21200,21600994
Denominación específica: Estrella de Mar,Dirección de correo electrónico: 21005952.edu@juntadeandalucia.es  ,Teléfono: 959349564,Código postal: 21400,21005952
