Nombre,Email,Telefono,Codigo_Postal,Tipo Centro,Codigo_Escuela
Denominación específica: La Salle-Virgen del Mar,Dirección de correo electrónico: dircentroalmeria@lasalleandalucia.net  ,Teléfono: 950220093,Código postal: 04005,Naturaleza: Centro privado,04001199
Denominación específica: Nuestra Señora de Fátima,Dirección de correo electrónico: 04000468.edu@juntadeandalucia.es  ,Teléfono: 950244258,Código postal: 04007,Naturaleza: Centro privado,04000468
Denominación específica: San Francisco,Dirección de correo electrónico: direccionacademica@franciscanos-almeria.com  ,Teléfono: 950257230,Código postal: 04003,Naturaleza: Centro privado,04000572
Denominación específica: Stella Maris,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04004,Naturaleza: Centro privado,04000493
Denominación específica: Virgen de la Paz,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04009,Naturaleza: Centro privado,04001047
Denominación específica: Adela Díaz,Dirección de correo electrónico: 04005673.edu@juntadeandalucía.es  ,Teléfono: 950156206,Código postal: 04006,Naturaleza: Centro público,04005673
Denominación específica: Ángel Suquía,Dirección de correo electrónico: 04001072.edu@juntadeandalucia.es  ,Teléfono: 950156142,Código postal: 04009,Naturaleza: Centro público,04001072
Denominación específica: Ave María del Quemadero,Dirección de correo electrónico: 04000924.edu@juntadeandalucia.es  ,Teléfono: 950156132,Código postal: 04008,Naturaleza: Centro público,04000924
Denominación específica: El Puche,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04009,Naturaleza: Centro público,04001308
Denominación específica: Francisco de Goya,Dirección de correo electrónico: 04000997.edu@juntadeandalucia.es  ,Teléfono: 671535578,Código postal: 04008,Naturaleza: Centro público,04000997
Denominación específica: Giner de los Ríos,Dirección de correo electrónico: 04000791.edu@juntadeandalucia.es  ,Teléfono: 950156115,Código postal: 04003,Naturaleza: Centro público,04000791
Denominación específica: Indalo,Dirección de correo electrónico: 04004954.edu@juntadeandalucia.es  ,Teléfono: 950156195,Código postal: 04008,Naturaleza: Centro público,04004954
Denominación específica: Josefina Baro Soler,Dirección de correo electrónico: 04005697.edu@juntadeandalucia.es  ,Teléfono: 950156642,Código postal: 04009,Naturaleza: Centro público,04005697
Denominación específica: La Chanca,Dirección de correo electrónico: 04000811.edu@juntadeandalucia.es  ,Teléfono: 950156120,Código postal: 04002,Naturaleza: Centro público,04000811
Denominación específica: Los Almendros,Dirección de correo electrónico: 04000900.edu@juntadeandalucia.es  ,Teléfono: 950156130,Código postal: 04009,Naturaleza: Centro público,04000900
Denominación específica: Luis Siret,Dirección de correo electrónico: 04001266.edu@juntadeandalucia.es  ,Teléfono: 950156168,Código postal: 04005,Naturaleza: Centro público,04001266
Denominación específica: Mar Mediterráneo,Dirección de correo electrónico: 04005326.edu@juntadeandalucia.es  ,Teléfono: 950156203,Código postal: 04007,Naturaleza: Centro público,04005326
Denominación específica: Rafael Alberti,Dirección de correo electrónico: 04602134.edu@juntadeandalucia.es  ,Teléfono: 950156208,Código postal: 04007,Naturaleza: Centro público,04602134
Denominación específica: San Gabriel,Dirección de correo electrónico: 04000730.edu@juntadeandalucia.es  ,Teléfono: 950156113,Código postal: 04006,Naturaleza: Centro público,04000730
Denominación específica: San Valentín,Dirección de correo electrónico: 04000821.edu@juntadeandalucia.es  ,Teléfono: 950156124,Código postal: 04007,Naturaleza: Centro público,04000821
Denominación específica: Virgen del Loreto,Dirección de correo electrónico: 04000833.edu@juntadeandalucia.es  ,Teléfono: 950156125,Código postal: 04007,Naturaleza: Centro público,04000833
Denominación específica: Padre Méndez,Dirección de correo electrónico: 04005053.edu@juntadeandalucia.es  ,Teléfono: 950156197,Código postal: 04006,Naturaleza: Centro público,04005053
Denominación específica: Ntra. Sra. de la Asunción,Dirección de correo electrónico: 04001485.edu@juntadeandalucia.es  ,Teléfono: 950639916,Código postal: 04660,Naturaleza: Centro público,04001485
Denominación específica: Buenavista,Dirección de correo electrónico: 04001771.edu@juntadeandalucia.es  ,Teléfono: 950579886,Código postal: 04713,Naturaleza: Centro público,04001771
Denominación específica: Alpujarra Alta,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04479,Naturaleza: Centro público,04602161
Denominación específica: Padre Manjón,Dirección de correo electrónico: 04001709.edu@juntadeandalucia.es  ,Teléfono: 950156500,Código postal: 04410,Naturaleza: Centro público,04001709
Denominación específica: Celia Viñas,Dirección de correo electrónico: 04004723.edu@juntadeandalucia.es  ,Teléfono: 950579846,Código postal: 04760,Naturaleza: Centro público,04004723
Denominación específica: Andrés Manjón,Dirección de correo electrónico: 04001783.edu@juntadeandalucia.es  ,Teléfono: 950579835,Código postal: 04760,Naturaleza: Centro público,04001783
Denominación específica: Portocarrero,Dirección de correo electrónico: direccion@colegioportocarrero.net  ,Teléfono: 950349959,Código postal: 04720,Naturaleza: Centro privado,04602353
Denominación específica: La Libertad,Dirección de correo electrónico: 04601798.edu@juntadeandalucia.es  ,Teléfono: 950368908,Código postal: 04110,Naturaleza: Centro público,04601798
Denominación específica: Cerro Castillo,Dirección de correo electrónico: 04001916.edu@juntadeandalucia.es  ,Teléfono: 950639918,Código postal: 04850,Naturaleza: Centro público,04001916
Denominación específica: San Antonio de Padua,Dirección de correo electrónico: ceipsanantoniodepadua@gmail.com  ,Teléfono: 950451691,Código postal: 04140,Naturaleza: Centro público,04601610
Denominación específica: Jerónima Reche,Dirección de correo electrónico: 04002179.edu@juntadeandalucia.es  ,Teléfono: 950419923,Código postal: 04825,Naturaleza: Centro público,04002179
Denominación específica: Llanos de Marín,Dirección de correo electrónico: 04003718.edu@juntadeandalucia.es  ,Teléfono: 950156761,Código postal: 04740,Naturaleza: Centro público,04003718
Denominación específica: Álvarez Sotomayor,Dirección de correo electrónico: 04002027.edu@juntadeandalucia.es  ,Teléfono: 950451703,Código postal: 04610,Naturaleza: Centro público,04002027
Denominación específica: Ntra. Sra. del Carmen,Dirección de correo electrónico: 04002039.edu@juntadeandalucia.es  ,Teléfono: 950451608,Código postal: 04610,Naturaleza: Centro público,04002039
Denominación específica: San Bernardo,Dirección de correo electrónico: 04001321.edu@juntadeandalucia.es  ,Teléfono: 950156534,Código postal: 04130,Naturaleza: Centro público,04001321
Denominación específica: San Miguel,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04640,Naturaleza: Centro público,04602018
Denominación específica: Divina Infantita,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04700,Naturaleza: Centro privado,04002295
Denominación específica: Diego Velázquez,Dirección de correo electrónico: ceipdieg.edu@juntadeandalucia.es  ,Teléfono: 950579950,Código postal: 04700,Naturaleza: Centro público,04002261
Denominación específica: Laimún,Dirección de correo electrónico: 04006151.edu@juntadeandalucia.es  ,Teléfono: 950156798,Código postal: 04700,Naturaleza: Centro público,04006151
Denominación específica: Santiago Ramón y Cajal,Dirección de correo electrónico: 04002258.edu@juntadeandalucia.es  ,Teléfono: 697951521,Código postal: 04700,Naturaleza: Centro público,04002258
Denominación específica: Tierno Galván,Dirección de correo electrónico: 04005818.edu@juntadeandalucia.es  ,Teléfono: 950156917,Código postal: 04700,Naturaleza: Centro público,04005818
Denominación específica: Francisco Villaespesa,Dirección de correo electrónico: 04003755.edu@juntadeandalucia.es  ,Teléfono: 950156765,Código postal: 04720,Naturaleza: Centro público,04003755
Denominación específica: Poniente,Dirección de correo electrónico: 04602171.edu@juntadeandalucia.es  ,Teléfono: 950156971,Código postal: 04743,Naturaleza: Centro público,04602171
Denominación específica: Almerimar,Dirección de correo electrónico: 04007517.edu@juntadeandalucia.es  ,Teléfono: 950034008,Código postal: 04711,Naturaleza: Centro público,04007517
Denominación específica: Rafaela Fernández,Dirección de correo electrónico: 04002507.edu@juntadeandalucia.es  ,Teléfono: 950639907,Código postal: 04869,Naturaleza: Centro público,04002507
Denominación específica: Soledad Alonso Drysdale,Dirección de correo electrónico: 04002593.edu@juntadeandalucia.es      ceipgador@gmail.com  ,Teléfono: 950156708,Código postal: 04560,Naturaleza: Centro público,04002593
Denominación específica: Hispanidad,Dirección de correo electrónico: 04002611.edu@juntadeandalucia.es  ,Teléfono: 950451548,Código postal: 04630,Naturaleza: Centro público,04002611
Denominación específica: Ntra. Sra. del Rosario,Dirección de correo electrónico: 04005090.edu@juntadeandalucia.es  ,Teléfono: 950451790,Código postal: 04647,Naturaleza: Centro público,04005090
Denominación específica: Buenavista,Dirección de correo electrónico: 04002660.edu@juntadeandalucia.es  ,Teléfono: 950156712,Código postal: 04230,Naturaleza: Centro público,04002660
Denominación específica: La Jarilla,Dirección de correo electrónico: 04006173.edu@juntadeandalucia.es  ,Teléfono: 950156914,Código postal: 04230,Naturaleza: Centro público,04006173
Denominación específica: Estancias,Dirección de correo electrónico: 04601971.edu@juntadeandalucia.es  ,Teléfono: 950451934,Código postal: 04600,Naturaleza: Centro público,04601971
Denominación específica: San José de Calasanz,Dirección de correo electrónico: 04002684.edu@juntadeandalucia.es  ,Teléfono: 950451912,Código postal: 04600,Naturaleza: Centro público,04002684
Denominación específica: Valle de Andarax,Dirección de correo electrónico: 04602043.edu@juntadeandalucia.es  ,Teléfono: 950156960,Código postal: 04430,Naturaleza: Centro público,04602043
Denominación específica: Alboraida,Dirección de correo electrónico: 04602080.edu@juntadeandalucia.es  ,Teléfono: 677982664,Código postal: 04779,Naturaleza: Centro público,04602080
Denominación específica: San Indalecio,Dirección de correo electrónico: 04001357.edu@juntadeandalucia.es  ,Teléfono: 950156428,Código postal: 04120,Naturaleza: Centro público,04001357
Denominación específica: Blas Infante,Dirección de correo electrónico: 04601695.edu@juntadeandalucia.es  ,Teléfono: 950156893,Código postal: 04738,Naturaleza: Centro público,04601695
Denominación específica: Saint Sylvain D'Anjou,Dirección de correo electrónico: 04006161.edu@juntadeandalucia.es  ,Teléfono: 950156843,Código postal: 04738,Naturaleza: Centro público,04006161
Denominación específica: San Pedro Apóstol,Dirección de correo electrónico: 04002489.edu@juntadeandalucia.es  ,Teléfono: 950156706,Código postal: 04745,Naturaleza: Centro público,04002489
Denominación específica: Federico García Lorca,Dirección de correo electrónico: 04601701.edu@juntadeandalucia.es  ,Teléfono: 950156895,Código postal: 04738,Naturaleza: Centro público,04601701
Denominación específica: Gabriel Cara,Dirección de correo electrónico: 04008421.edu@juntadeandalucia.es  ,Teléfono: 697953847,Código postal: 04740,Naturaleza: Centro público,04008421
Denominación específica: Mirasierra,Dirección de correo electrónico: emipinos@hotmail.com  ,Teléfono: 950156845,Código postal: 04716,Naturaleza: Centro público,04006185
Denominación específica: Ntra. Sra. de la Salud,Dirección de correo electrónico: 04002957.edu@juntadeandalucia.es  ,Teléfono: 950515523,Código postal: 04470,Naturaleza: Centro público,04002957
Denominación específica: Juan XXIII,Dirección de correo electrónico: 04002601.edu@juntadeandalucia.es  ,Teléfono: 950451910,Código postal: 04280,Naturaleza: Centro público,04002601
Denominación específica: Alhfil,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04210,Naturaleza: Centro público,04602031
Denominación específica: Ntra. Sra. del Rosario,Dirección de correo electrónico: 04003123.edu@juntadeandalucia.es  ,Teléfono: 950639952,Código postal: 04867,Naturaleza: Centro público,04003123
Denominación específica: Solymar,Dirección de correo electrónico: 04002349.edu@juntadeandalucia.es  ,Teléfono: 950579827,Código postal: 04715,Naturaleza: Centro público,04002349
Denominación específica: Tres Villas-Nacimiento,Dirección de correo electrónico: 04602183.edu@juntadeandalucia.es  ,Teléfono: 950359600,Código postal: 04540,Naturaleza: Centro público,04602183
Denominación específica: Antonio Relaño,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04860,Naturaleza: Centro público,04003421
Denominación específica: San Gregorio,Dirección de correo electrónico: 04003470.edu@juntadeandalucia.es  ,Teléfono: 950639682,Código postal: 04810,Naturaleza: Centro público,04003470
Denominación específica: Punta Entinas,Dirección de correo electrónico: 04005119.edu@juntadeandalucia.es  ,Teléfono: 950579711,Código postal: 04715,Naturaleza: Centro público,04005119
Denominación específica: José Saramago,Dirección de correo electrónico: 04008388.edu@juntadeandalucia.es  ,Teléfono: 950001150,Código postal: 04738,Naturaleza: Centro público,04008388
Denominación específica: Campo de Níjar Norte,Dirección de correo electrónico: 04003691.edu@juntadeandalucia.es  ,Teléfono: 950156367,Código postal: 04117,Naturaleza: Centro público,04003691
Denominación específica: Emilio Zurano Muñoz,Dirección de correo electrónico: 04003551.edu@juntadeandalucia.es  ,Teléfono: 950451583,Código postal: 04640,Naturaleza: Centro público,04003551
Denominación específica: Torremar,Dirección de correo electrónico: 04004462.edu@juntadeandalucia.es  ,Teléfono: 950156627,Código postal: 04130,Naturaleza: Centro público,04004462
Denominación específica: Al-Bayyana,Dirección de correo electrónico: director@al-bayyana.es  ,Teléfono: 664512588,Código postal: 04740,Naturaleza: Centro privado,04005764
Denominación específica: Portomagno,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04740,Naturaleza: Centro privado,04005855
Denominación específica: Juan de Orea,Dirección de correo electrónico: 04004681.edu@juntadeandalucia.es  ,Teléfono: 950156782,Código postal: 04740,Naturaleza: Centro público,04004681
Denominación específica: La Romanilla,Dirección de correo electrónico: 04004589.edu@juntadeandalucia.es  ,Teléfono: 950156606,Código postal: 04740,Naturaleza: Centro público,04004589
Denominación específica: Las Salinas,Dirección de correo electrónico: 04004577.edu@juntadeandalucia.es  ,Teléfono: 950156631,Código postal: 04740,Naturaleza: Centro público,04004577
Denominación específica: Virgen del Rosario,Dirección de correo electrónico: jm_andres66@yahoo.es  ,Teléfono: 950156768,Código postal: 04740,Naturaleza: Centro público,04003809
Denominación específica: Juan Sebastián Elcano,Dirección de correo electrónico: 04007797.edu@juntadeandalucia.es  ,Teléfono: 950153327,Código postal: 04117,Naturaleza: Centro público,04007797
Denominación específica: San José,Dirección de correo electrónico: 04003378.edu@juntadeandalucia.es  ,Teléfono: 950153322,Código postal: 04118,Naturaleza: Centro público,04003378
Denominación específica: Jesús de Perceval,Dirección de correo electrónico: 04601531.edu@juntadeandalucia.es  ,Teléfono: 950579718,Código postal: 04710,Naturaleza: Centro público,04601531
Denominación específica: Miguel Zubeldia,Dirección de correo electrónico: 04003925.edu@juntadeandalucia.es  ,Teléfono: 950429500,Código postal: 04890,Naturaleza: Centro público,04003925
Denominación específica: Lusor,Dirección de correo electrónico: 04602225.edu@juntadeandalucia.es  ,Teléfono: 950368557,Código postal: 04270,Naturaleza: Centro público,04602225
Denominación específica: Virgen de las Angustias,Dirección de correo electrónico: 04004085.edu@juntadeandalucia.es  ,Teléfono: 950368506,Código postal: 04200,Naturaleza: Centro público,04004085
Denominación específica: Artero Pérez,Dirección de correo electrónico: 04002362.edu@juntadeandalucia.es  ,Teléfono: 950156703,Código postal: 04713,Naturaleza: Centro público,04002362
Denominación específica: Los Vélez,Dirección de correo electrónico: 04601932.edu@juntadeandalucia.es  ,Teléfono: 950419531,Código postal: 04839,Naturaleza: Centro público,04601932
Denominación específica: Nuestra Señora de Monteagud,Dirección de correo electrónico: .edu@juntadeandalucia.es  ,Teléfono: 950368929,Código postal: 04279,Naturaleza: Centro público,04004231
Denominación específica: Doctor Guirao Gea,Dirección de correo electrónico: 04004322.edu@juntadeandalucia.es  ,Teléfono: 950419911,Código postal: 04820,Naturaleza: Centro público,04004322
Denominación específica: La Venta del Viso,Dirección de correo electrónico: 04601634.edu@juntadeandalucia.es  ,Teléfono: 950156885,Código postal: 04746,Naturaleza: Centro público,04601634
Denominación específica: Ángel de Haro,Dirección de correo electrónico: 04005193.edu@juntadeandalucia.es  ,Teléfono: 950451965,Código postal: 04620,Naturaleza: Centro público,04005193
Denominación específica: Reyes Católicos,Dirección de correo electrónico: 04004401.edu@juntadeandalucia.es  ,Teléfono: 950451472,Código postal: 04620,Naturaleza: Centro público,04004401
Denominación específica: Profesor Tierno Galván,Dirección de correo electrónico: 04005201.edu@juntadeandalucia.es  ,Teléfono: 950156792,Código postal: 04738,Naturaleza: Centro público,04005201
Denominación específica: Juan Andrés de Toledo,Dirección de correo electrónico: 04004486.edu@juntadeandalucia.es  ,Teléfono: 950639530,Código postal: 04650,Naturaleza: Centro público,04004486
"Denominación específica: Jesús, María y José",Dirección de correo electrónico: anamaricordon@gmail.com  ,Teléfono: 956413383,Código postal: 11180,Naturaleza: Centro privado,11000034
Denominación específica: Maestro José Arenas Pulido,Dirección de correo electrónico: 11000071.edu@juntadeandalucia.es  ,Teléfono: 956128636,Código postal: 11693,Naturaleza: Centro público,11000071
Denominación específica: Sierra de Cádiz,Dirección de correo electrónico: 11000095.edu@juntadeandalucia.es  ,Teléfono: 956709621,Código postal: 11639,Naturaleza: Centro público,11000095
Denominación específica: La Inmaculada,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11205,Naturaleza: Centro privado,11000228
Denominación específica: Maestro Isidoro Visuara,Dirección de correo electrónico: sanfrancisco1936@gmail.com  ,Teléfono: 956661594,Código postal: 11203,Naturaleza: Centro privado,11000216
Denominación específica: Montecalpe,Dirección de correo electrónico: secretaria.montecalpe@puertoblanco-montecalpe.com  ,Teléfono: 956605888,Código postal: 11207,Naturaleza: Centro privado,11007193
Denominación específica: Puerto Blanco,Dirección de correo electrónico: secretaria.puertoblanco@puertoblanco-montecalpe.com  ,Teléfono: 956604422,Código postal: 11207,Naturaleza: Centro privado,11007201
Denominación específica: Adalides,Dirección de correo electrónico: 11000502.edu@juntadeandalucia.es  ,Teléfono: 956670100,Código postal: 11204,Naturaleza: Centro público,11000502
Denominación específica: Andalucía,Dirección de correo electrónico: 11006863.edu@juntadeandalucia.es  ,Teléfono: 956670846,Código postal: 11206,Naturaleza: Centro público,11006863
Denominación específica: Caetaria,Dirección de correo electrónico: 11603282.edu@juntadeandalucia.es  ,Teléfono: 956670789,Código postal: 11207,Naturaleza: Centro público,11603282
Denominación específica: General Castaños,Dirección de correo electrónico: 11000150.edu@juntadeandalucia.es  ,Teléfono: 956670709,Código postal: 11201,Naturaleza: Centro público,11000150
Denominación específica: Mediterráneo Don Luis Unciti Esparza,Dirección de correo electrónico: 11602964.edu@juntadeandalucia.es  ,Teléfono: 670943321,Código postal: 11205,Naturaleza: Centro público,11602964
Denominación específica: Parque del Estrecho,Dirección de correo electrónico: 11006243.edu@juntadeandalucia.es  ,Teléfono: 956102599,Código postal: 11207,Naturaleza: Centro público,11006243
Denominación específica: San Bernardo,Dirección de correo electrónico: 11006887.edu@juntadeandalucia.es  ,Teléfono: 956670201,Código postal: 11204,Naturaleza: Centro público,11006887
Denominación específica: Santa Teresa de Jesús,Dirección de correo electrónico: 11000162.edu@juntadeandalucia.es  ,Teléfono: 956670711,Código postal: 11202,Naturaleza: Centro público,11000162
Denominación específica: Virgen del Mar,Dirección de correo electrónico: 11000198.edu@juntadeandalucia.es  ,Teléfono: 956670119,Código postal: 11204,Naturaleza: Centro público,11000198
Denominación específica: Juan Sebastián Elcano,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11207,Naturaleza: Centro público,11000137
Denominación específica: San José,Dirección de correo electrónico: 11000563.edu@juntadeandalucia.es  ,Teléfono: 956138184,Código postal: 11680,Naturaleza: Centro privado,11000563
Denominación específica: C.R.I.P.E.R,Dirección de correo electrónico: 11603142.edu@juntadeandalucia.es  ,Teléfono: 956234012,Código postal: 11680,Naturaleza: Centro público,11603142
Denominación específica: Alfonso X El Sabio,Dirección de correo electrónico: 11000642.edu@juntadeandalucia.es  ,Teléfono: 956709934,Código postal: 11630,Naturaleza: Centro público,11000642
Denominación específica: El Santiscal,Dirección de correo electrónico: 11001361.edu@juntadeandalucia.es  ,Teléfono: 956709959,Código postal: 11630,Naturaleza: Centro público,11001361
Denominación específica: Ntra. Sra. de las Nieves,Dirección de correo electrónico: 11000721.edu@juntadeandalucia.es  ,Teléfono: 956709947,Código postal: 11630,Naturaleza: Centro público,11000721
Denominación específica: San Francisco,Dirección de correo electrónico: 11000691.edu@juntadeandalucia.es  ,Teléfono: 956709937,Código postal: 11630,Naturaleza: Centro público,11000691
Denominación específica: Vicenta Tarín,Dirección de correo electrónico: 11006401.edu@juntadeandalucia.es  ,Teléfono: 956709964,Código postal: 11630,Naturaleza: Centro público,11006401
Denominación específica: Bahía de Barbate,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11160,Naturaleza: Centro público,11000770
Denominación específica: Francisco Giner de los Ríos,Dirección de correo electrónico: 11602800.edu@juntadeandalucia.es  ,Teléfono: 956459590,Código postal: 11160,Naturaleza: Centro público,11602800
Denominación específica: Maestra Áurea López,Dirección de correo electrónico: 11000782.edu@juntadeandalucia.es  ,Teléfono: 956459607,Código postal: 11160,Naturaleza: Centro público,11000782
Denominación específica: Padre Muriel,Dirección de correo electrónico: 11003953.edu@juntadeandalucia.es  ,Teléfono: 956418552,Código postal: 11190,Naturaleza: Centro público,11003953
Denominación específica: Abardela,Dirección de correo electrónico: 11000976.edu@juntadeandalucia.es  ,Teléfono: 956128936,Código postal: 11612,Naturaleza: Centro público,11000976
Denominación específica: San Fernando,Dirección de correo electrónico: 11000991.edu@juntadeandalucia.es  ,Teléfono: 956709954,Código postal: 11640,Naturaleza: Centro público,11000991
Denominación específica: Amor de Dios,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11010,Naturaleza: Centro privado,11001476
Denominación específica: Esclavas (S.C.J.),Dirección de correo electrónico: secretaria@cadiz.esclavasscj.com  ,Teléfono: 956261106,Código postal: 11008,Naturaleza: Centro privado,11001579
Denominación específica: Juan Pablo II-María Milagrosa,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11002,Naturaleza: Centro privado,11001841
Denominación específica: María Auxiliadora,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11008,Naturaleza: Centro privado,11001351
Denominación específica: Nuestra Señora del Carmen,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11004,Naturaleza: Centro privado,11001385
Denominación específica: San Francisco de Asís,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11009,Naturaleza: Centro privado,11001403
Denominación específica: San Vicente de Paúl,Dirección de correo electrónico: csvpcadiz@colegiosanvicentedepaul.org  ,Teléfono: 956253474,Código postal: 11007,Naturaleza: Centro privado,11001580
Denominación específica: Campo del Sur,Dirección de correo electrónico: 11001178.edu@juntadeandalucia.es  ,Teléfono: 956243285,Código postal: 11006,Naturaleza: Centro público,11001178
Denominación específica: Carola Ribed,Dirección de correo electrónico: 11001166.edu@juntadeandalucia.es  ,Teléfono: 956243223,Código postal: 11008,Naturaleza: Centro público,11001166
Denominación específica: Gadir,Dirección de correo electrónico: 11007481.edu@juntadeandalucia.es  ,Teléfono: 956243249,Código postal: 11012,Naturaleza: Centro público,11007481
Denominación específica: Josefina Pascual,Dirección de correo electrónico: 11001129.edu@juntadeandalucia.es  ,Teléfono: 956243221,Código postal: 11002,Naturaleza: Centro público,11001129
Denominación específica: Profesor Juan Carlos Aragón,Dirección de correo electrónico: 11007363.edu@juntadeandalucia.es  ,Teléfono: 956243247,Código postal: 11012,Naturaleza: Centro público,11007363
Denominación específica: Reyes Católicos,Dirección de correo electrónico: 11001099.edu@juntadeandalucia.es  ,Teléfono: 956243143,Código postal: 11009,Naturaleza: Centro público,11001099
Denominación específica: San Rafael,Dirección de correo electrónico: 11001646.edu@juntadeandalucia.es  ,Teléfono: 956243230,Código postal: 11002,Naturaleza: Centro público,11001646
Denominación específica: Santa Rita,Dirección de correo electrónico: 11005640.edu@juntadeandalucia.es  ,Teléfono: 956670190,Código postal: 11314,Naturaleza: Centro público,11005640
Denominación específica: Escuelas Profesionales de la Sagrada Familia-Sagrado Corazón de Jesús,Dirección de correo electrónico: chiclanafrontera@safa.edu  ,Teléfono: 956405631,Código postal: 11130,Naturaleza: Centro privado,11002195
Denominación específica: Niño Jesús,Dirección de correo electrónico: njesuscf@planalfa.es  ,Teléfono: 956400407,Código postal: 11130,Naturaleza: Centro privado,11002161
Denominación específica: San Juan Bosco,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11130,Naturaleza: Centro privado,11002080
Denominación específica: Al-Ándalus,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11130,Naturaleza: Centro público,11006747
Denominación específica: El Mayorazgo,Dirección de correo electrónico: 11603312.edu@juntadeandalucia.es  ,Teléfono: 956243632,Código postal: 11130,Naturaleza: Centro público,11603312
Denominación específica: Federico García Lorca,Dirección de correo electrónico: 11008321.edu@juntadeandalucia.es  ,Teléfono: 956243968,Código postal: 11130,Naturaleza: Centro público,11008321
Denominación específica: Isabel la Católica,Dirección de correo electrónico: 11002201.edu.@juntadeandalucia.es  ,Teléfono: 956243526,Código postal: 11130,Naturaleza: Centro público,11002201
Denominación específica: La Atlántida,Dirección de correo electrónico: 11006917.edu@juntadeandalucia.es  ,Teléfono: 956243942,Código postal: 11130,Naturaleza: Centro público,11006917
Denominación específica: Las Albinas,Dirección de correo electrónico: 11603476.edu@juntadeandalucia.es  ,Teléfono: 956243207,Código postal: 11130,Naturaleza: Centro público,11603476
Denominación específica: Ntra. Sra. de los Remedios,Dirección de correo electrónico: 11002134.edu@juntadeandalucia.es  ,Teléfono: 956243667,Código postal: 11130,Naturaleza: Centro público,11002134
Denominación específica: Sancti Petri,Dirección de correo electrónico: 11000186.edu@juntadeandalucia.es  ,Teléfono: 956243293,Código postal: 11130,Naturaleza: Centro público,11000186
